"Project","Text","SDG","Target"
"166991","epm assist dowh administrative aspects project supervision monitoring","SDG 10","SDG 10.5"
"166991","epm expected provide fulltime engineering supervisors locally recruited supervision engineers dowh provincial manager staff oversee administer worksmaintenance contracts","SDG 11","SDG 11.2"
"166991","epm headed project manager pm staffed specialists project managementengineering safeguards procurement contract management fm monitoring evaluation","SDG 10","SDG 10.5"
"166991","epm mobilized time support dowh ensure quality timely procurement execution project","SDG 17","SDG 17.1"
"166991","epm responsible project","SDG 15","SDG 15.8"
"166991","epm responsible supporting dowh aspects project implementation","SDG 15","SDG 15.8"
"166991","epm employ specialists transfer skills local staff","SDG 8","SDG 8.5"
"166991","epm closely dowh headquarters provincial manager staff carry duties required project implementationpreparing terms reference consultancies designs specifications drawings boqs required contracts involving improvements andor maintenance","SDG 7","SDG 7.1"
"166991","eruptions forced villagers flee homes destroyed homes plantations leaving villagers food water ash columns disrupted domestic flights reuters","SDG 12","SDG 12.3"
"166991","existing fm arrangement borrower proposed ia dowh assessed adequate meet fm requirements world banks policy ipf operations ii procurement","SDG 11","SDG 11.b"
"166991","experience hybrid opbrc maintenance contracting rmrpii longterm maintenance contracts supported dfats tsspii consistent higherquality maintenance outputs efficient maintenance planning improve efficiency slow asset deterioration","SDG 11","SDG 11.b"
"166991","final esia identify assess extent potential environmental social risks impacts facilities manage risks accordance requirements environmental social standards extent government control influence facilities","SDG 11","SDG 11.6"
"166991","final scope timing activities determined coordination dowh development partners months project implementation","SDG 12","SDG 12.1"
"166991","final scope complement activities carried page papua guinea resilient transport project dfatfinanced tssp ii","SDG 9","SDG 9.a"
"166991","financial reports include analysis actual expenditure current period yeartodate cumulative date outstanding commitments compared total project budget","SDG 15","SDG 15.a"
"166991","indicators results framework monitor progress addressing identified gaps share workers engaged road maintenance women percent baseline women","SDG 17","SDG 17.19"
"166991","risks project considered based screening precipitation flooding drought sea level rise storm surge strong winds","SDG 15","SDG 15.3"
"166991","formal sector employs roughly percent labor force failed create sufficient jobs absorb workers entering jobs market youth population","SDG 10","SDG 10.5"
"166991","format developed agreed ia dowh world bank due date submission ifrs","SDG 12","SDG 12.1"
"166991","fpa family protection accessible victims","SDG 14","SDG 14.2"
"166991","fpa protection accessible victims family sexual violence","SDG 3","SDG 3.7"
"166991","frequency moderate intensity tropical cyclones decline increase wind speeds category cyclones projected surge","SDG 3","SDG 3.3"
"166991","fulltime time epm staff assigned dowh epm progress training gopngdow staff mentor transfer skills annual monitoring dowh epm reports contractors key support staff develop reporting skills expertise including page papua guinea resilient transport project procurement financial management environment gender social development maintenance planning maintenance contract supervision road safety opbrc contracting","SDG 10","SDG 10.5"
"166991","information road characteristics assumption traffic table","SDG 3","SDG 3.6 "
"166991","generated traffic assumed percent sections ramu section","SDG 15","SDG 15.8"
"166991","government counterparts weak capacity financial management fm proactive environmental social risk management safeguards lengthy intricate public procurement processes pose significant challenges effectiveness sector institutions","SDG 13","SDG 13.3"
"166991","grant agreement executed delivered behalf borrower","SDG 15","SDG 15.8"
"166991","grant agreement executed delivered behalf recipient","SDG 15","SDG 15.8"
"166991","grant agreement include provision retroactive financing amount payments project eligible expenditures incurred signing date grant agreement project april","SDG 3","SDG 3.c"
"166991","grm process promoted communities proximity project sites ensure mechanism understood individuals opportunity provide feedback complaints project impacts workforce","SDG 3","SDG 3.c"
"166991","grm feedback continued improvement projects","SDG 7","SDG 7.1"
"166991","grm stipulate service standards progress epm monitoring grievances responded ensuring project annual dowh epm reports reporting stipulated service standards timely responses citizen feedback grievances","SDG 10","SDG 10.5"
"166991","grs ensures complaints received promptly reviewed address projectrelated concerns","SDG 15","SDG 15.8"
"166991","hazard assessment identify risks damage pipeline mitigated design andor preventative measures construction","SDG 13","SDG 13.a"
"166991","highlands average rainfall reach mm history severe floods","SDG 15","SDG 15.4"
"166991","highway supports mining agroindustrial activities region specifically beef sugar palm oil production","SDG 8","SDG 8.5"
"166991","highway supports mining major agroindustrial activities region specifically beef sugar palm oil production extensive domestic cocoa production","SDG 17","SDG 17.1"
"166991","hiritano highway connects countrys capital port moresby capital gulf region kerema","SDG 15","SDG 15.8"
"166991","hybrid contract elements traditional roadworks contract bill quantities boqunit prices opbrc reflects balancing contractual risk employer contractor","SDG 2","SDG 2.c"
"166991","hybrid opbrc includes initial repairsimprovement coastal valley section rehabilitation portions valley section poor condition output performancebased maintenance","SDG 14","SDG 14.2"
"166991","hybrid opbrc operates similar designbuildmaintain dbm contract","SDG 15","SDG 15.8"
"166991","hybrid opbrc include provision upgrading drainage infrastructure emergency response repairs reduce risks extreme weather events natural disasters flood landslide","SDG 1","SDG 1.1"
"166991","ia responsible ensuring procurement requirements components subcomponents met","SDG 15","SDG 15.8"
"166991","ibrd loan agreement ida financing agreement grant agreement include disbursement condition requiring borrowerrecipient engage epm accordance terms legal agreements withdrawals category project financing table","SDG 16","SDG 16.9"
"166991","ifrs forwarded world bank days calendar quarter","SDG 17","SDG 17.8"
"166991","implementation rmrpii adversely affected noncompliance world bank safeguards policies","SDG 11","SDG 11.6"
"166991","implementation support plan based experience lessons learned road sector projects png projects risk profile","SDG 3","SDG 3.6 "
"166991","implementation support plan reviewed annually ensure meets support project","SDG 15","SDG 15.8"
"166991","implementation support specialist opbrc adviser continue services ppg financing expires drawing project financing subcomponent","SDG 1","SDG 1.4"
"166991","implementation support team include program implementation support adviser performancebased contracts specialist support dowh preparing implementing project environmental specialist social ilo","SDG 10","SDG 10.2"
"166991","independent papua guinea png largest pacific island country population million located north australia southwestern pacific ocean","SDG 17","SDG 17.6"
"166991","indicator assumes weeks mentoring epm specialist","SDG 17","SDG 17.19"
"167795","cud established piu prepare implement project","SDG 15","SDG 15.8"
"167795","cud previously implemented world bankfinanced projects dedicated pius","SDG 15","SDG 15.8"
"167795","cud responsible zoning urban planning including earmarking spaces industrial activities housing tourism site development ii organizing public transport iii urban road construction maintenance iv urban renewal city beautification development parks greenspaces sidewalks","SDG 11","SDG 11.3"
"167795","cud benefits transfers competences standpoint urban transport planning management","SDG 11","SDG 11.3"
"167795","cud main entity charge audited annual monitoring brt financial statements operations concession operational annual disclosure cud audited indicator reflect annual results cud annual financial statements capacity cud playing brt operator operational results brt role supervision transparent implementation cud brt operations concession","SDG 17","SDG 17.19"
"167795","cud rely project management support project implementation infrastructure aspects components project management support firm amo competitively recruited component support piu ii component piu supported codatu contract ta financed project","SDG 9","SDG 9.a"
"167795","cud rely project management supports specific project implementation infrastructure aspects components project management support firm amo competitively recruited component support piu ii component piu supported codatu contract ta financed project","SDG 9","SDG 9.a"
"167795","cud indicator measures collect average invehicle time average rush hour invehicle travel time annual information cud brt morning peak brt routes hours surveys","SDG 17","SDG 17.19"
"167795","cuds piu carry activities managing procurement activities ensuring compliance procurement process relevant manuals ensuring page douala urban mobility project compliance bidding documents draft requests proposals evaluation reports contracts world bank procedures preparing updating pp monitoring implementation procurement activities developing procurement reports seeking obtaining approval internal designated entities world bank procurement documents required","SDG 17","SDG 17.1"
"167795","current fare structure considers fcfa flat fare brt services additional fcfa increments integrate feeder services feeder services charged fcfa","SDG 9","SDG 9.b"
"167795","current project implemented rightofway existing road","SDG 3","SDG 3.6 "
"167795","das finance eligible expenditures components managed disbursement procedures administrative accounting financial procedures manual section pim dfil","SDG 15","SDG 15.a"
"167795","data collected brt routes brt disaggregated operator gender","SDG 16","SDG 16.10"
"167795","data collected page douala urban mobility project disaggregate gender","SDG 17","SDG 17.1"
"167795","decentralization framework law replaced december law code decentralized local authorities loi du dcembre portant code gnral des collectivits territoriales dcentralises","SDG 14","SDG 14.c"
"167795","decentralization process incomplete functions continue exercised direct support subsidies ministry housing urban development ministre de lhabitat du dveloppement urbain minhdu ministry transport ministre des transports mint urban roads solid waste management urban transport","SDG 11","SDG 11.3"
"167795","definition specific resilienceenhancing measures completed project preparation technical designs main infrastructure prepared","SDG 17","SDG 17.19"
"167795","design conform universal access guidelines ensure seamless systemwide access persons disabilities ii account climate disaster resilience aspects observing world banks covid response guidelines ensuring postcovid green resilient inclusive development grid recovery","SDG 11","SDG 11.2"
"167795","detailed diagnostic completed january","SDG 15","SDG 15.8"
"167795","development concept proposed sites formulated","SDG 12","SDG 12.1"
"167795","diagnostic offers neighborhood level analysis applying tod principles adopted discuss interventions scenarios","SDG 15","SDG 15.8"
"167795","stages budget preparation management preparation revision adoption execution detailed fm procedures manual","SDG 14","SDG 14.4"
"167795","difficulties walking extension public transport include poorly maintained sidewalks seldomly frequently obstructed poor drainage road traffic crash risk poor lighting safety security risks","SDG 17","SDG 17.17"
"167795","douala city development strategy adopted national development strategy stratgie nationale de dveloppement snd demonstrate commitment manage urban growth competitiveness improving urban living conditions reinforcing economic role towns urban infrastructure upgrading","SDG 11","SDG 11.3"
"167795","douala urban mobility project conceived recommendations pmus stands cornerstone phase citys longterm vision sustainable mobility","SDG 17","SDG 17.1"
"167795","dsce articulated vision strategy period","SDG 15","SDG 15.8"
"167795","effort cautiously similar attempts countries africa worldwide taking stock key lessons learned correct identified missteps fundamental risk mitigation measure","SDG 16","SDG 16.10"
"167795","esia component brt corridor infrastructure prepared consulted disclosed december","SDG 9","SDG 9.a"
"167795","esmf focuses activities components locations defined project implementation infrastructure improvement selected feeder roads public space improvements brt stations","SDG 11","SDG 11.7"
"167795","esmf cleared disclosed december","SDG 15","SDG 15.8"
"167795","esmf guidance environmental assessment investments extended ta included project","SDG 17","SDG 17.5"
"167795","esmp identifies categories measures mitigation measures consist environmental protection measures allowing reduce direct effects road construction ecosystems socioeconomic environments ii compensation measures unavoidable negative impacts brt lane construction iii positive impact enhancement accompanying measures proposed positively influence patterns road infrastructure improve social economic conditions populations served","SDG 14","SDG 14.2"
"167795","exact amount modalities assessed ifc advisory ppp structuring phase","SDG 15","SDG 15.8"
"167795","exact content investment packages formulated stations pilot investment selected development plans finalized","SDG 17","SDG 17.5"
"167795","fastpaced population growth cameroon allowed notable urbanization rate stands subsaharan peers","SDG 16","SDG 16.1"
"167795","final selection station pilot investments formulation stationarea development plans follow participatory process articulated charettetype workshops engage informal formal private sector actors residents people disabilities womens associations public transit users define specific investments support inclusive local economic development design construction supervision pilot investment packages brt stations identified stationarea development plans pilot demonstration","SDG 17","SDG 17.17"
"167795","financial analysis carried project conduct detailed analysis potentially viable fare structures ensure competitiveness affordability perspectives operator users","SDG 6","SDG 6.1"
"167795","fleet renewal public transport providers climate change mitigation measure directly reduces ghg emissions improves resilience sector","SDG 13","SDG 13.2"
"167795","fm residual risk deemed moderate","SDG 15","SDG 15.8"
"167795","fm procedures manual pdvir standardized fm manual procedures developed caa world bank idf support customized reflect specificities project","SDG 12","SDG 12.1"
"167795","additional measures undertaken project effective standardized fm manual procedures developed caa world bank idf support customized reflect projects specificities accounting software configured ppa parameterized handle accounting reporting project accountant designated cud recruited terms reference tor acceptable world bank staff inspectorategeneral services inspection gnrale des services designed fulfill internal audit function project dedicated internal auditor conduct expost reviews page douala urban mobility project project transactions procedures ensure identified weaknesses addressed satisfactory manner external auditor recruited conduct annual financial audit financial statements project review internal control system","SDG 9","SDG 9.b"
"167795","forecasted daily ridership brt passengers served fleet articulated buses feeder routes","SDG 15","SDG 15.8"
"167795","format ifr agreed negotiations","SDG 15","SDG 15.8"
"167795","composition psc detailed pim","SDG 15","SDG 15.8"
"167795","composition psc detailed project implementation manual pim","SDG 15","SDG 15.8"
