"Project","Text"
"P079032","set national monitoring system million subcomponent support set monitoring system federal government monitor status hcs sector regions municipalities aggregate data country wide progress reforms"
"P079032","aspects bank engagement benefit complex process hcs reform packaging capacity enhancement policy advice integrated coherent multisectoral package supports quality decision iiits track record infrastructure housing social policies iii banks sustained relationships matches term nature reforms"
"P079032","sewage pumping stations"
"P079032","sewer pipes"
"P079032","shelter water supply sewerage heating hot water services basic services citizens countries rate"
"P079032","shelter water supply sewerage heating hot water services basic services citizens countries rate"
"P079032","short lists consultants services estimated cost equivalent contract composed national consultants accordance provisions paragraph consultant guidelines"
"P079032","shortages heating supply regions winter shown challenge maintaining continuous reliable supply hcs services"
"P079032","desire switch report based disbursement initial stage project implementation budgeting system incorporated accounting system"
"P079032","build heating water supply pipelines laid public rights"
"P079032","federal funds allocated regions social expenditure cofinancing fund"
"P079032","cs providers losses services provided households lack incentives improve service quality expand service coverage"
"P079032","mid government policy phase lgoti privileges replace meanstested social payments"
"P079032","social impacts closely monitored life project"
"P079032","social payment arrears eliminated targeted programs hcs municipalities"
"P079032","space heating systems residential buildings facilities constructions"
"P079032","specific responsibilities project management include"
"P079032","specifically interagency"
"P079032","specifically detailed description guidelines quantification economic financial benefits costs"
"P079032","specifically key municipal responsibilities include implementing reforms reform plan ta federal government"
"P079032","step competitive selection cities reform phase selection participating cities nationwide contest"
"P079032","step reform status evaluation process selection cities investment phase selected cities participate investment phase program"
"P079032","step technical economic financial environmental assessment investment projects months reform phase selected reserve municipality submit investment plan outlining subprojects financed investment phase"
"P079032","mechanisms restructuring project accordance evolving circumstances client demands"
"P079032","strategic context rationale"
"P079032","strengthening social protection consumers technical assistance support improving targeting coverage efficiency hcs subsidies enhance impact social assistance programs poverty alleviation"
"P079032","strengthening social protection consumers technical assistance support improving targeting coverage efficiency hcs subsidies enhance impact social assistance programs poverty alleviation"
"P079032","strengthening social protection consumers poor adequately protected rising tariffs inadequate targeting funding social assistance programs subsidies paid victimizes consumers adversely affects financial viability cs providers compensated subsidizing household tariffs administration targeted social assistance benefits fragmented limits effectiveness housing allowances"
"P079032","strengthening social protection hcs consumers poor adeauatelv protected rising tariffs"
"P079032","strengths significant strengths provide basis reliance project financial management system include ithe experience financial management staff implementing bankfinanced projects satisfying bank financial management requirements iithe unqualified audit reports issued projects financial statements absence issues raised auditors management letters iiisound internal control system piu"
"P079032","subnational lending subnational lending alternative sovereign lending ruled allowed conducting countrywide competitive selection municipalities sufficient leverage facilitate comprehensive reforms hcs"
"P079032","substantial related poverty social impacts policy program carried hcs sector reform program russia decade"
"P079032","subsurface water intake facilities"
"P079032","review relates quality audits midterm review approximately hcs providers continuing commencement investment phase monitoring compliance audits financial statements prepared eligibility criteria accordance local accounting standards hcs providers carried accordance local auditing standards local demonstrated adequate capacity quality independence"
"P079032","agencies pius advantage skilled consultants reliable suitable standalone computerized information systems"
"P079032","impacts include permanent temporary withdrawal additional land sites cutting vegetation air pollution wastewater discharges polluted storm water runoff construction period generation construction wastes negative impacts physical factors including increased noise levels potential exposure workers asbestos materials"
"P079032","investment plans municipality reviewed separately agreed borrower bank included procurement plan project"
"P079032","investment plans implemented municipalities demonstrated reforms hcs sector expected happen months beginning project implementation"
"P079032","procurement plans include contracts procurement methods icb shoppinglsmall banks standard bidding documents icb national standard bidding documents agreed satisfactory bank"
"P079032","supervision reform phase concentrate monitoring reforms stages project concentrate efficient implementation investment plans including fiduciary safeguards aspects"
"P079032","supervision hcs project focus impact outcomes program stakeholder support feasible options realizing intended development goals"
"P079032","supervision implementation municipal investment plans million subcomponent consist team experts supervise implementation municipal investment plans investment phase project"
"P079032","supervisionplan"
"P079032","surface water intake facilities volume day"
"P079032","surplus revenues stabilization fund"
"P079032","sustainability sustainabilitv implemented reforms investments"
"P079032","system rehabilitation modernization reduce costs improve service quality increase consumerorientation metering consumer control supply"
"P079032","system rehabilitation introduction modern technology considerably reduce cost improve quality service delivery"
"P079032","regulation reviewed account investment costs"
"P079032","project development objective improve quality financial viability hcs participating municipalities"
"P079032","component results component support competitive selection participating municipalities implementation hcs reforms select reform minded municipalities subnational level lack participate project"
"P079032","mitigate impacts framework environmental management plan emp developed borrower"
"P079032","table summarizes financial management assessment risk ratings project risk rating risk risk risk mitigation measures rating mitigation measures inherent risk country level"
"P079032","table criteria assess reform status improving legal acts adopted regulatory agencies set tariffs communal services minimum period financial viability compulsory annual indexation inflation fuel cost providers approval municipalities regions cs providers production programs investment programs minimum period identification sources funding"
"P079032","table list eligible investments"
