"Project","Text"
"P079032","government russian federation"
"P079032","approved rf government resolution"
"P079032","budget surpluses increased funds investments upgrading infrastructure"
"P079032","project effectiveness ten mediumsized cities reserve cities competitively selected basis planned reforms reform phase"
"P079032","cities ranked assessment score top ten cities selected picked reserve cities"
"P079032","creating market competition housing management maintenance technical assistance support improving management maintenance repair multifamily buildings clarifying formalizing rights responsibilities owners multi family buildings"
"P079032","reform phase cities implement planned reforms"
"P079032","improving financial viability communal services providers technical assistance provided support breaking vicious cycle tariffs operating costs lowquality services communal service providers trapped"
"P079032","addition subcomponent support consolidation program administration targeted social assistance benefits including housing allowances"
"P079032","priorities include facilitating private sector participation housing communal services developing targeted social assistance improving measuring quality services provided"
"P079032","municipal funding scarce inadequate tariffs"
"P079032","municipalities cs providers plagued frequent rotation personnel"
"P079032","project components"
"P079032","recent macroeconomic stabilization rising household incomes greatly improved prospects reforms hcs sector"
"P079032","regional governments partially reimbursed housing allowance expenditures"
"P079032","selection cities consists steps"
"P079032","services hcs sector continue delivered local governments soviet era virtually reliance marketbased mechanisms"
"P079032","technical assistance provided assist increasing autonomy accountability cs providers"
"P079032","technical assistance focus reform"
"P079032","audit results hcs providers published"
"P079032","federal government enacted impressive array legal regulatory acts past"
"P079032","incremental dilapidated housing stock exceeded capital repairs carried period"
"P079032","investment plans include supply services required infrastructure rehabilitation services required improve social protection consultancy services support implementation investments"
"P079032","lack thermostat controls metering leads consumers waste energy water windows running taps means controlling comfort levels"
"P079032","selected cities ten program manageable ensure participating cities receive adequate investments sector requiring substantial financial resources"
"P079032","project consist phases month reform phase month investment phase graph"
"P079032","reform plans municipalities pass step assessed formula measures planned reform status reform stage relative reform status time application"
"P079032","economic financial analyses specific investments undertaken stage"
"P079032","estimate include investment requirements increase coverage communal services"
"P079032","hcs reforms difficult implement tough economic times"
"P079032","conservative estimate average amount cofinancing million million municipality"
"P079032","critical factor success hcs reforms political willingness capacity municipal authorities implement reforms"
"P079032","detailed protocol conflict resolution system municipalities suppliers independent supervising engineers piu acceptable bank developed"
"P079032","discussion government taking establish flexible regulatory system regions independently exceed limits municipalities"
"P079032","focus welltodo demonstrate feasibility marketbased housing supply mechanisms"
"P079032","key element accessible housing national priority project improve living conditions quality communal services"
"P079032","key element accessible housing project improve living conditions quality communal services population"
"P079032","methodology select cities reform phase evaluate investment plans evaluate progress reform status select cities investment phase prepared rosstroi consultation ministries agreed bank prior project negotiations"
"P079032","detailed summary economic financial screening process included annex"
"P079032","actors local level including municipal administrations services providers buildinglevel management structures cooperate implement reforms investments project"
"P079032","project account rubles"
"P079032","recent survey percent russians quality hcs services improve introducing cost recovery"
"P079032","financial transparency outstanding debts government municipalities regions federal hcs service providers calculated accounts payable enterprise reduced time"
"P079032","series seminars round tables municipalties explain methodology raise awareness underway selection participating municipalities completed project effectiveness"
"P079032","surge private sector participation water supply sewerage sector reversed investors satisfied returns investments"
"P079032","survey percent russians quality hcs services improve introducing cost recovery"
"P079032","technical audit carried verify assets acquired project"
"P079032","unifking theme initiatives comprising federal governments reform program clarification responsibilities funding levels government"
"P079032","data billion rubles percent gdp financed federal budget total amount housing allowances calculated billion rubles"
"P079032","data total amount housing allowances rur billion rur billion percent gdp financed federal budget"
"P079032","official data deficiency budget compensation hcs enterprises amounted rur billion"
"P079032","rosstroi cs providers regions losses amounting rur billion"
"P079032","rosstroi cs providers regions losses losses core operations amounting rur billion"
"P079032","rosstroi percent russias housing stock dilapidated untenable"
"P079032","housing code home owners multiapartment buildings entitled share common property plot land"
"P079032","legislation titles land plots delimited duly registered adoption housing code transferred home owners free charge"
"P079032","results september survey percent population believes entitled discounted cs tariffs"
"P079032","russian statistics committee rosstat percent urban population access water supply percent sewerage percent heating figures rural lower percent percent percent"
"P079032","project selected reach level performance fer act piu"
"P079032","accounting accountin svstem maintains accounting books records accounting books records bankfinanced projects computerized accounting system"
"P079032","accounting accounting system"
"P079032","accounting policies procedures"
"P079032","accounting staffing key financial positions occupied people lot experience bank financed projects"
"P079032","activities include seminars set internet portal aimed provide information government agencies population including library practice"
"P079032","additional budgetary resources required procedures developed estimating variation future reform impact types housing specific household ii forecasting demand housing allowances iii projections trends total requirements budget financing including costs conventional budget subsidies social assistance programs housing allowances"
"P079032","implementation stage hcs reform subprogram updated focused modernization cs infrastructure"
"P079032","approval investment plan technical designs investment subproject prepared municipality"
"P079032","accounting staff extensive accounting knowledge including wb financed projects considered acceptable"
"P079032","mil"
"P079032","financial figures included analysis constant prices"
"P079032","services procured rosstroi"
"P079032","monitoring efforts require continuous support local authorities"
"P079032","disbursement mechanisms advances direct payments reimbursement special commitments"
"P079032","procurement funds transfers project carried centralized manner rosstrois supervision"
"P079032","procurement project carried centralized manner rosstroi piu"
"P079032","procurement project carried centralized manner rosstroi piu"
"P079032","selected reserve municipalities agreement rosstroi define rights responsibilities project"
"P079032","frequent visits participating municipalities required"
"P079032","housing emerged valuable asset majority households"
"P079032","economic financial savings expected result efficiency gains derived marketbased mechanisms competitive service delivery hcs sector improved targeting social transfers"
"P079032","regional administrations subnational funding replicate hcs project locally"
"P079032","rosstroi conduct periodic spot checks"
"P079032","participating cities opportunity fimds allocated investment phase implement set highpriority investments hcs cities developed feasibility studies designs months project implementation"
"P079032","participating cities opportunity funds allocated investment phase implement set highpriority investments hcs cities developed feasibility studies designs months project implementation"
"P079032","proposed project contributes banks increasing effort promote development regions"
"P079032","lack supervision guidance federal government"
"P079032","alternatives considered reasons rejection"
"P079032","lowest monthly income rubles family percent entitled discounts"
"P079032","amount outstanding payments communal services consumed municipal regional public institutions"
"P079032","assessment fm arrangements project undertaken october updated negotiations"
"P079032","prepared project emphasis ensuring mitigation potential environmental impacts rehabilitation potential construction"
"P079032","step creating transparency hcs sector regularly publish tariffs audited financial data core technical data cs providers mass media internet"
"P079032","interagency composed senior management rosstroi representatives ministry regional development ministry finance ministry economic development trade responsible strategic issues decisions project preparation implementation"
"P079032","interagency established minister regional development dated october"
"P079032","annex addresses weaknesses identified appraisal recommends measures aimed mitigating procurement risks"
"P079032","annex country sector program background federation housing communal services project recent economic developments russian federation performance russian economy crisis impressive macroeconomic fundamentals improved considerably economy grown robustly row"
"P079032","annex country glance russian federation housing communal services project europe upper poverty social russian central middle diamond"
"P079032","annex describes mechanism conduct economic financial analyses screening activities undertaken project implementation ensure investments economically justified"
"P079032","annex documents project file federation housing services project"
"P079032","annex economic financial analysis federation housing communal services project nature project specific investments identified implementation stage municipalities developed investment plans"
"P079032","annex financialmanagement disbursement arrangements russian federation housing communal services project country issues country financial accountability assessment cfaa russian federation conducted"
"P079032","annex implementation arrangements federation housing communal services project russian federation ministry finance recipient proposed ibrd loan designate federal agency construction housing communal services rosstroi executing entity operation"
"P079032","annex related projects financed bank andor agencies federation housing services project multisector nature hcs project means operation covers sectors economy"
"P079032","annex"
"P079032","annex procurement arrangements russian federation housing communal services project"
"P079032","annex project preparation supervision federation housing communal services project planned actual pcn review december september initial pid pic october initial isds pic october appraisal october october negotiations boardrvp approval february planned date effectiveness july planned date midtermreview january planned closing date november key institutions responsible preparation proiect federal agency construction hcs russian federation rosstroi implementing agency fund enterprise restructuring financial institutions development fer project implementation unit"
"P079032","annex safeguard policy issues russian federation housing communal services project project triggers safeguard policy operational policy"
"P079032","annual backlog housing repair square meters figure expected grow"
"P079032","private sector participation competitive basis lease concession type contracts local governments operators attraction offbudget resources finance upgrading cs infrastructure"
"P079032","route contracting private operator operate manage service delivery properly designed management lease contract"
"P079032","applications replenishment supported documentation"
"P079032","appraisal summary"
"P079032","approvals pending commitment fy approval company loan equity quasi partic"
"P079032","approve recommendation rosstroi municipalities selected reform phase municipal investment plans municipalities selected investment phase awarded grant support implementing investment plans"
"P079032","approved rf government federal law"
"P079032","approved rf government resolution january"
"P079032","approximately percent project cost relates component preparation implementation hcs investment plans"
"P079032","approximately percent relates distribution networks"
"P079032","consequence intensive supervision world banks financed projects remains"
"P079032","challenges facing housing sector systemic institutional nature traditional investment loans primarily focusing bricks mortar successful achieving results sectorwide reforms"
"P079032","lgoti meanstested system provide adequate protection poor"
"P079032","beginning percent owners residential premises multifamily buildings representing percent total housing stock decisions form building level management homeowners association condominiums housing societies management companies"
"P079032","project supervision missions bank conduct riskbased financial management supervisions intervals"
"P079032","project preparation summary recent psia activities related key reform undertaken project files"
"P079032","selection criteria continuous monitoring participating hcs providers project implementation agreement rosstroi municipalities require regular audits hcs providers"
"P079032","required bankaccredited financial management specialist assist supervision process"
"P079032","tariffs hcs increase project project designed include series policy actions improve targeting funding delivery housing allowances"
"P079032","tariffs increase social protection"
"P079032","housing project enterprise housing divestiture project shown difficulties implementing operations complicated volatile political economic context russia mids"
"P079032","assessment agencys capacity implement procurement project implementation unit piu called foundation enterprise restructuring financial institutions development fer competitively selected assist day implementation project"
"P079032","assessment include site visits surveys data collection verification methods"
"P079032","assets resulting project transferred municipalities local service providers grant basis"
"P079032","surveys measure consumer satisfaction conducted project"
"P079032","time effort ensure rosstroi staff charge hcs reform project implementation knowledgeable environmental social issues"
"P079032","time percent entitled discounts applied"
"P079032","attempts disregard world banks comments bidding documents excuse left amend due internal bureaucratic process"
"P079032","auditing overdue audit reports outstanding issues piu projects implements"
"P079032","auditors engaged standard terms reference acceptable bank procured accordance bank procurement guidelines"
"P079032","bank fiduciary staff based moscow provide regular oversight"
"P079032","bank staff consultants project included title unit gevorg sargsyan senior infrastructure specialist ecssd peter ellis senior urban economist sase ellen hamilton senior urban planner ecssd jan brzeski housing urban specialist ecssd meike van ginneken senior water sanitation specialist ewdws arvo kuddo senior labor economist ecshd dhruva sahai senior financial specialist consultant ecssd tatyana shadrunova operations analyst ecssd yan"
"P079032","based investment demand expressed seminars project preparation estimated percent expenditures investment plans heating supply percent water supply sewerage percent housing sector percent social protection"
"P079032","based investment hcs sector russian federation demand expressed regions municipalities participating seminars project preparation estimated percent expenditures services subcomponent spent heating supply including energy supply heating supply facilities percent spent water supply sewerage facilities percent spent housing sector percent spent social protection"
"P079032","based detailed investment plans procurement plan component prepared piu approved rosstroi bank noobjection letters"
"P079032","based banks current audit policy recommends maintaining current arrangements annual audit bankassisted projects involve audit private sector audit competitively appointed preselected bank consultation mof"
"P079032","key issues addressed reform program"
"P079032","benefits benefits investment plans classified categories service quality improvement"
"P079032","scope regular project audit expanded include detailed review internal control procedures audit section"
"P079032","russian gdp expanded percent real income population grew percent"
"P079032","billing collection payments directly linked services provided"
"P079032","bryansk kaluga kostroma dudinka ukraine orel ivanovo syktyvkar"
"P079032","budget data entered project financial statements"
"P079032","budgetary resources freed participating regionsmunicipalities directed potential program participants municipalities"
"P079032","building capacity local level paramount reforming sector"
"P079032","buildings installations treat wastewater sediments"
"P079032","beginning ruble appreciated real terms precrisis levels trend continuing"
"P079032","cash accounting project"
"P079032","cash flow low tariffs properly account depreciation service providers reimbursed subsidies provide consumers government entities pay consumed services"
"P079032","central heating stations"
"P079032","aspects affordable housing package aimed demand housing market providing conditions mortgage system development supporting forms housing demand stimulation"
"P079032","cities prepare detailed investment plans financed project design tender documents"
"P079032","citizens view municipalities owners buildings property municipal enterprises providers maintenance repair services"
"P079032","clarifying rights obligations land plots requires delimitation registration"
"P079032","cofinancing provided rosstroi"
"P079032","collection treatment rain water melted snow water discharge facilities buildings systems collecting treating discharging rain water melted snow water"
"P079032","communal service providers autonomous accountable"
"P079032","communal service providers sufficient resources finance proper maintenance rehabilitation development assets"
"P079032","communal services cs include district heating water supply hot water supply sewerage services technical economic financial environmental assessment investment plans months reform phase selected reserve municipality submit investment plan outlining investment subprojects financed investment phase feasibility studies subprojects"
"P079032","competition housing maintenance current capital repair services low"
"P079032","competitive mechanisms accessing funds"
"P079032","component support implementation federal level million federal government enacted impressive array legal regulatory acts designed improve financial viability communal services providers strengthen social protection hcs consumers create market competition housing management maintenance privatized tenantowners assuming rights obligations private property"
"P079032","component support hcs reform implementation federal level million federal government enacted impressive array legal regulatory acts designed improve hcs delivery"
"P079032","component support implementation hcs reforms subnational level including iassistance cities utility reform social protection housing iievaluation implementation municipal reform programs iiiknowledge exchange municipalities iv public awareness campaign hcs reforms selected regions"
"P079032","component support implementation reforms subnational level million component finance technical assistance ten selected reserve cities implement reforms line federal governments objectives"
"P079032","component support implementation reforms subnational level million component finance technical assistance ten selected reserve cities implement reforms"
"P079032","component preparation implementation investment plans million component includes technical assistance prepare investment plans technical designs reform phase financing investment subprojects implement approved investment plans investment phase project"
"P079032","component preparation implementation hcs investment plans including preparation municipal investment plans feasibility studies technical designs ii implementation municipal investment plans iiisupervision implementation municipal investment plans component project management monitoring results safeguard policies triggered ref pad technical annex op"
"P079032","component preparation implementation investment plans million component includes technical assistance prepare investment plans technical designs reform phase financing investment subprojects implement approved investment plans investment phase project"
"P079032","component project management monitoring million component include technical assistance equipment logistical support implementing agencies project implementation monitoring supervision including consulting services measuring results project"
"P079032","component project management monitoring million component provide assistance implementing agency project implementation monitoring supervision including consulting services measuring results project"
"P079032","conditions effectiveness participating municipalities selected based selection methodology"
"P079032","conducting daytoday supervision contractors certifylng completion technical standards municipal supervisors reporting periodic basis rosstroi based monitoring formats included project operations manual including data gathering quality control coordination financial operational reporting entities local level cs providers"
"P079032","controls mitigation measures risk audit arrangements assessed moderate"
"P079032","controls mitigation measures risk implementing entity assessed moderate"
"P079032","controls mitigation measures risk internal control arrangements project assessed moderate"
"P079032","controls mitigation measures risk flow funds project assessed moderate"
"P079032","consistency bank policy practice related pius government requested project implementation unit national level proposed project facilitate smooth transition integration project management functions line agencies"
"P079032","consumers pay tariffs observe improvements quality services delivered"
"P079032","consumers pay tariffs observe improvements quality services delivered"
"P079032","conversely adjustment operations focus solely policy aspects result rapid rehabilitation infrastructure improvement service quality essential financial viability utilities support consumers"
"P079032","corruption persistent challenges hcs sector"
"P079032","corruption taking project accounting financial management upward period mitigation measures corruption risk significant reduction incorporated section considered substantial risk"
"P079032","country sector issues"
"P079032","creating market competition housing management maintenance lack building level collective management structures inefficient housing management municipal enterprises strongly contributed physical deterioration multifamily buildings privatized tenantowners perceive hold joint ownership common property feel responsible management maintenance repair noncompetitive nature maintenance repairs contributed lack availability quality inadequate pricing services lack rights obligations common property land plots home owners properly maintain develop common property"
"P079032","creating market competition housing management maintenance lack building level collective management structures inefficient housing management municipal unitary enterprises strongly contributed physical deterioration multi family buildings"
"P079032","creating market percentage multifamily buildings owners selected buildinglevel collective competition management structure signed relevant agreements accordance housing code housing management"
"P079032","critical risks controversial aspects risks risk mitigation measures risk rating mitigation project development objective improvements service quality project seeks mitigate risk improving accompany increases tariffs service quality extensive investments poor households supported upgrading infrastructure taking integrated tariff increases social approach including improving social protection tensions grow mechanisms hcs enterprises cost effective financing public awareness campaigns explain sector reforms address issues social opposition cost recovery proposals"
"P079032","cs providers punished efficiency gains reduced tariffs tariff review"
"P079032","cs providers allowed priority protecting organization political masters service improvement"
"P079032","currency equivalents exchange rate effective december currency unit russian ruble rur rur"
"P079032","current rehabilitation rates rarely exceed percent"
"P079032","customers receive intermittent service varies location"
"P079032","december rf government"
"P079032","decrease disease incidence due poor hcs"
"P079032","delimitation land plots responsibility local authorities sufficient funds incentives advance"
"P079032","designated account commercial bank acceptable bank"
"P079032","macroeconomic stability sound economic growth pace service improvements hcs sector slow"
"P079032","significant budget resources flow sector deterioration housing stock poor quality communal services continues"
"P079032","detailed procedures relating internal controls audits project investment components financial management om"
"P079032","details procurement arrangements involving international competition"
"P079032","development policy loan project originally designed dpl"
"P079032","development approval implementation municipal public information program hcs reform"
"P079032","dissemination project results nonparticipating municipalities regions million subcomponent support federal government spread momentum hcs reform replicate reforms regions municipalities sharing lessons learned participating cities"
"P079032","distributing substations devices"
"P079032","distribution circled water supply network"
"P079032","project meet regional criteria readiness implementation xiyes pad"
"P079032","project require exceptions fkom bank policies ref pad"
"P079032","draft formats ifrs including physical progress report prepared discussed piu"
"P079032","dubel hansjoacchim brzeski jan"
"P079032","due lack metering leakage buildings"
"P079032","project implementation bank supervise projects financial management arrangements main review quarterly basis financial projects ifrs annual projects audited financial statements auditors management letter banks onsite supervision missions review key project accounting internal control systems iibudgeting financial planning arrangements iii disbursement management financial flows including counterpart funds applicable iv incidences corrupt practices involving project resources"
"P079032","investment phase targeted investments hcs infrastructure investment plans prepared cities"
"P079032","investment phase targeted investments hcs infrastructure investment plans"
"P079032","unstable macroeconomic environment os hcs sector acted shock absorber"
"P079032","unstable macroeconomic environment hcs sector acted shock absorber housing stock utility networks allowed depreciate maintenance investment funds diverted cashstrapped households local governments"
"P079032","debt resource flows debt mill"
"P079032","subproject economic internal rate return eirr minimum percent financial internal rate return firr minimum percent"
"P079032","economic financial analyses"
"P079032","enabling environment risk mitigation wide difference approach public procurement law hand world bank procurement guidelines hand insufficient practice legal institutional framework reportedly widespread corruption country procurement environment implementation world banks portfolio russian federation continues complex risk"
"P085375","management cons"
"P085375","managementcons"
"P085375","personnel selections implementation fair objective transparent mechanisms accordance bank guidelines"
"P085375","grants awarded competitive process employing selection criteria agreed bank"
"P085375","ministry public republic indonesia"
"P085375","regular evaluation consultant performance rewards consultants performance considered"
"P085375","pcsc chaired bappenas"
"P085375","role coordinate facilitate collaboration related agencies monitor progress outcomes identify lessons learnt undertake advocacy district level decision makers sustainability scaling mainstreaming"
"P085375","subcomponent"
"P085375","total debt service ibrd ida composition net resource flows official grants official creditors private creditors foreign direct investment net inflows portfolio equity net inflows world bank program commitments ibrd bilateral disbursements ida multilateral private principal repayments imf shoriten net flows payments net transfers annex maps indonesia water supply sanitation low income communities pamsimas project map"
"P085375","basic gender training job training mentoring system cfts build gendersensitive facilitation skills annex detail"
"P085375","capacity development action plan prepared"
"P085375","central project management unit established mpw national level network correspondingdistrict pmus"
"P085375","cmac provincial management advisory consultants pmac hired assist central provincial district governments"
"P085375","consultant fm hired baseline survey usd technical audit usd"
"P085375","contract required hiring civil contractor nearby service provider"
"P085375","coordination committee social programs established district level districts"
"P085375","coordination committee chaired bappenas resolve intersectoral coordination arise"
"P085375","copy provided signatory"
"P085375","description goodslequipment type quality volumelquantity delivery schedule packaging delivery condition posted information board"
"P085375","detailed technical manual developed project providing environmental procedures site selection including water quality testing construction operation maintenance community water supply schemes including special conditions environmentally sensitive"
"P085375","financial unit upc vit formed cooperative notarized audited yearly accountants community"
"P085375","application fund support activities strengthen post construction maintenance risk pooling financing mechanisms zncentives grant villages million central government finance cost incentive grants limited villages meet exceed predetermined project performance criteria"
"P085375","gender action plan developed annex cfts accountable implementing measures ensure active participation women community meetings decision"
"P085375","guide methodology participatory assessment mpa communitydriven development programs"
"P085375","knowledge management plan developed months cpmu ensuring dissemination lessons learnt practice"
"P085375","largescale sanitation marketingprogramdesigned raise consumer demand improved sanitation stimulate development local options sanitation products services facilitate market responses supply increased demand promote hygiene improvements cover populationincluding inpenurban"
"P085375","matrix detailed interventions prepared integral plan attachment details aspects related disclosure attachment"
"P085375","matrix outlining experience attachment"
"P085375","midterm environmental review assess scale direction velve emerging impacts carried specific focus uptake water supply sanitation activities performance incentive grants"
"P085375","detailed discussion risks financial management assessment report project files"
"P085375","national communication expert extensive experience managinglargescale public health hygiene improvementcampaigns oversee province district awareness campaignsu"
"P085375","evaluation performance implementing agencies including cpmu ppmus dpmus"
"P085375","participatory social mapping determine cross subsidy communities"
"P085375","portion grant applied proposals support sanitation supplydemand initiatives component outcomes"
"P085375","price comparison acceptable lack alternative suppliers"
