"Project","Text","Target"
"P079032","government russian federation","A"
"P079032","approved rf government resolution","A"
"P079032","budget surpluses increased funds investments upgrading infrastructure","A"
"P079032","project effectiveness ten mediumsized cities reserve cities competitively selected basis planned reforms reform phase","A"
"P079032","cities ranked assessment score top ten cities selected picked reserve cities","A"
"P079032","creating market competition housing management maintenance technical assistance support improving management maintenance repair multifamily buildings clarifying formalizing rights responsibilities owners multi family buildings","A"
"P079032","reform phase cities implement planned reforms","A"
"P079032","improving financial viability communal services providers technical assistance provided support breaking vicious cycle tariffs operating costs lowquality services communal service providers trapped","A"
"P079032","addition subcomponent support consolidation program administration targeted social assistance benefits including housing allowances","A"
"P079032","priorities include facilitating private sector participation housing communal services developing targeted social assistance improving measuring quality services provided","A"
"P079032","municipal funding scarce inadequate tariffs","A"
"P079032","municipalities cs providers plagued frequent rotation personnel","A"
"P079032","project components","A"
"P079032","recent macroeconomic stabilization rising household incomes greatly improved prospects reforms hcs sector","A"
"P079032","regional governments partially reimbursed housing allowance expenditures","A"
"P079032","selection cities consists steps","A"
"P079032","services hcs sector continue delivered local governments soviet era virtually reliance marketbased mechanisms","A"
"P079032","technical assistance provided assist increasing autonomy accountability cs providers","A"
"P079032","technical assistance focus reform","A"
"P079032","audit results hcs providers published","A"
"P079032","federal government enacted impressive array legal regulatory acts past","A"
"P079032","incremental dilapidated housing stock exceeded capital repairs carried period","A"
"P079032","investment plans include supply services required infrastructure rehabilitation services required improve social protection consultancy services support implementation investments","A"
"P079032","lack thermostat controls metering leads consumers waste energy water windows running taps means controlling comfort levels","A"
"P079032","selected cities ten program manageable ensure participating cities receive adequate investments sector requiring substantial financial resources","A"
"P079032","project consist phases month reform phase month investment phase graph","A"
"P079032","reform plans municipalities pass step assessed formula measures planned reform status reform stage relative reform status time application","A"
"P079032","economic financial analyses specific investments undertaken stage","A"
"P079032","estimate include investment requirements increase coverage communal services","A"
"P079032","hcs reforms difficult implement tough economic times","A"
"P079032","conservative estimate average amount cofinancing million million municipality","A"
"P079032","critical factor success hcs reforms political willingness capacity municipal authorities implement reforms","A"
"P079032","detailed protocol conflict resolution system municipalities suppliers independent supervising engineers piu acceptable bank developed","A"
"P079032","discussion government taking establish flexible regulatory system regions independently exceed limits municipalities","A"
"P079032","focus welltodo demonstrate feasibility marketbased housing supply mechanisms","A"
"P079032","key element accessible housing national priority project improve living conditions quality communal services","A"
"P079032","key element accessible housing project improve living conditions quality communal services population","A"
"P079032","methodology select cities reform phase evaluate investment plans evaluate progress reform status select cities investment phase prepared rosstroi consultation ministries agreed bank prior project negotiations","A"
"P079032","detailed summary economic financial screening process included annex","A"
"P079032","actors local level including municipal administrations services providers buildinglevel management structures cooperate implement reforms investments project","A"
"P079032","project account rubles","A"
"P079032","recent survey percent russians quality hcs services improve introducing cost recovery","A"
"P079032","financial transparency outstanding debts government municipalities regions federal hcs service providers calculated accounts payable enterprise reduced time","A"
"P079032","series seminars round tables municipalties explain methodology raise awareness underway selection participating municipalities completed project effectiveness","A"
"P079032","surge private sector participation water supply sewerage sector reversed investors satisfied returns investments","A"
"P079032","survey percent russians quality hcs services improve introducing cost recovery","A"
"P079032","technical audit carried verify assets acquired project","A"
"P079032","unifking theme initiatives comprising federal governments reform program clarification responsibilities funding levels government","A"
"P079032","data billion rubles percent gdp financed federal budget total amount housing allowances calculated billion rubles","A"
"P079032","data total amount housing allowances rur billion rur billion percent gdp financed federal budget","A"
"P079032","official data deficiency budget compensation hcs enterprises amounted rur billion","A"
"P079032","rosstroi cs providers regions losses amounting rur billion","A"
"P079032","rosstroi cs providers regions losses losses core operations amounting rur billion","A"
"P079032","rosstroi percent russias housing stock dilapidated untenable","A"
"P079032","housing code home owners multiapartment buildings entitled share common property plot land","A"
"P079032","legislation titles land plots delimited duly registered adoption housing code transferred home owners free charge","A"
"P079032","results september survey percent population believes entitled discounted cs tariffs","A"
"P079032","russian statistics committee rosstat percent urban population access water supply percent sewerage percent heating figures rural lower percent percent percent","A"
"P079032","project selected reach level performance fer act piu","A"
"P079032","accounting accountin svstem maintains accounting books records accounting books records bankfinanced projects computerized accounting system","A"
"P079032","accounting accounting system","A"
"P079032","accounting policies procedures","A"
"P079032","accounting staffing key financial positions occupied people lot experience bank financed projects","A"
"P079032","activities include seminars set internet portal aimed provide information government agencies population including library practice","A"
"P079032","additional budgetary resources required procedures developed estimating variation future reform impact types housing specific household ii forecasting demand housing allowances iii projections trends total requirements budget financing including costs conventional budget subsidies social assistance programs housing allowances","A"
"P079032","implementation stage hcs reform subprogram updated focused modernization cs infrastructure","A"
"P079032","approval investment plan technical designs investment subproject prepared municipality","A"
