Project,Text,Target
100000,government specifically memr finalizing presidential regulation revise policy framework remuneration scheme fiscal support viability gap fund projects measures improve investment climate sector,Climate adaptation
100000,beneficiaries infrastructure investments matching grants concentrated northern districts belize cayo orange walk corozal belize districts receive significantly rainfall southern districts subjected severe drought conditions result climate change,Climate adaptation
100000,borrower mafse carry project assistance bsif page climate resilient sustainable agriculture project accordance provisions article conditions schedule loan agreement subsidiary agreement bsif,Climate adaptation
100000,climatesmart matching grant program windows sets farmers table,Climate adaptation
100000,component finance equipment studies training consulting advisory services productivity indicators measure increases beneficiaries crop yields life project key agricultural products maize onions sweet peppers beef cattle,Climate adaptation
100000,risk mitigation require government takes measures compliance laws regulations public financial management public disclosure information including moh report semiannual basis results internal audit conducted inspectorate health insurance subsidy main expenditure program mof appoint bpkp conduct independent verification task program provide sufficient budget bpjsk action remove regulatory obstacles interfere requirements existing indonesian law public information disclosure bpjsk improve capacity internal audit unit internal control bpjsk hr unit conduct assessment capacity certified information system auditor cisa certified internal auditor ii bpjsk internal capacity improved competency conducting continuous audit bpjsk information systems bpjsk improve records management practice regulation ensure secure access records retain preserve dispose records appropriately ias require procurement services check world banks debarment wwwworldbankorgdebarr temporary suspension lists record verification bid page national health insurance jkn reforms results program evaluation report contract award ensure contract program awarded firm individual debarment andor temporary suspension world bank ias inform world bank promptly credible material allegations indications fc connection program attention investigative actions ias propose provide world bank semiannual basis report allegations fc program received registered period related investigations actions,Climate adaptation
100000,risk mitigation require government takes measures compliance laws regulations public financial management public disclosure information including moh report semiannual basis results internal audit conducted inspectorate health insurance subsidy main expenditures program mof formally appoint bpkp conduct independent verification task program provide sufficient budget bpjsk action remove regulatory obstacles prevent compliance requirements existing indonesian law public information disclosure bpjsk improve capacity internal audit unit internal control bpjsk hr unit conduct assessment capacity cisa certified internal auditor ii bpjsk internal capacity improved competency conducting continuous audit bpjsk information systems bpjsk improve records management practice regulation ensure secure access records retain preserve dispose records appropriately ias require procurement services check world banks debarment wwwworldbankorgdebarr temporary suspension lists record verification bid evaluation report contract award ensure contract program awarded firm individual debarment andor temporary suspension world bank ias inform world bank promptly credible material allegations indications fc connection program attention investigative actions ias propose provide world bank semiannual basis report allegations fc program received registered period related investigations actions,Climate adaptation
100000,environment risk rated substantial social risk rated moderate,Climate adaptation
100000,environmental social commitment plan escp prepared goi screen individual project activities ensure activities environmentally socially sustainable,Climate adaptation
100000,esmf principles guidelines screen assess mitigate potential environmental social risks impacts activity accordance requirements applicable national regulations ess wbg ehs guidelines,Climate adaptation
100000,development lots budget financing lot world bank financing consistent approach corridor construction carried eu standards attention road safety climate resilience efforts standardize implementation relying world bank procurement practices environmental social es instruments,Climate adaptation
100000,igot platform extremely valuable provide justintime training civil servants private sectors nongovernmental organizations times natural disasters equip skills capabilities manage crisis,Climate adaptation
100000,igot technology platform host courses climate change disaster management building resilience black swan events,Climate adaptation
100000,extreme events increase issues sedimentation intense erosion destabilization slopes increase events glacial lake outburst flood glof,Climate adaptation
100000,frequency extreme events including flooding extreme precipitation droughts double,Climate adaptation
100000,inclusion subcomponent build capacity adaptation capacity building ministry road transport development manage road training assets prepare climateresilient engineering designs including feasibility studies master plans monitor climate change indicators monitoring evaluation framework enhance incomeearning potential herders,Climate adaptation
100000,interventions ensure incorporation climate resilience considerations specifically application road design practices climate resilience,Climate adaptation
100000,committed prepare climate change action plan climate change strategy,Climate adaptation
100000,chennai metropolitan cma epitomizes economic potential vulnerabilities rapid urbanization,Climate adaptation
100000,cma highly vulnerable natural disasters climate change covid emergency revealed pandemics,Climate adaptation
100000,irssp crosschecks interoperability mechanisms standalone benefits administration systems administrative information systems managed municipalities warning information systems enable emergency programs respond climaterelated shocks deforestation mountain regions social registry revenue service civil registry disability idp registries worknet employeremployees database developed mof electricity company database geostat poverty maps,Climate adaptation
100000,government rely private sector infrastructure investment,Circular economy
100000,improved efficiency expected apply wastewater services people program counties,Circular economy
100000,financial analysis wss om costs projected fy absence efficiency measures double costs fy program incentivizes operational efficiency improvements including reduction nrw energy efficiency improvements moderating water production requirements cost production,Circular economy
100000,outcome indicators measure achievement pdo sjpnl strengthened autonomous wss company sjpnl achieves operational efficiency financial sustainability sjpnl improves energy efficiency ii sjpnl reduces nonrevenuewater iii om cost recovery water distribution people benefitting improved wss services people access continuous water supply ii additional people provided sewerage services,Circular economy
100000,economic evaluation compares withproject scenario withoutproject baseline calculates incremental costs benefits life cycle project,Circular economy
100000,fmm requires maintenance accounts separately water production water distribution sewerage head office,Circular economy
100000,engagement principles guide selection interventions identified focus include spatial equity means redress current regional imbalances country innovation rapid pace technological change digitization effect productivity competitiveness,Circular economy
100000,engineering design lot restoration existing local road network disrupted highway,Circular economy
100000,expansion extension achieve sewerage coverage shimla city,Circular economy
100000,financial analysis assumed main benefits investments expected revenue increases growth electricity demand served ii cost reduction substitution onsite diesel generation ongrid generation overloaded substations peak hours iii avoided payment fines due delay nonconstruction expansion projects approved osinergmin,Circular economy
100000,financial analysis assumed main benefits investments revenue increase growth demand served ii cost reduction substitution site diesel generation ongrid generation overloaded substations peak hours iii payment fines due delay nonconstruction expansion projects approved,Circular economy
100000,expansion greenhouse infrastructure investments expected reduction potential health threats workplace integrated pest management expected generate labor opportunities women indirectly contribute improved conditions women greenhouses,Circular economy
100000,implementation bmp impacts communities forest access livelihoods,Biodiversity
100000,belizean economy relies heavily countrys natural resources deliver ecosystem products services valued percent gdp,Biodiversity
100000,bsif pius responsibilities include procurement financial management monitoring evaluation management environmental social risks instruments including gender communications citizen engagement management designated account da preparation technical financial reports submission withdrawal applications bank management grievance recess services grs,Biodiversity
100000,office communist party china council opinions defining strictly protecting ecological red lines feb link term national ecological environmental security proposed national outline ecological environmental protection refers ecosystems country provide sustainable ecosystem services support human lives socioeconomic development,Biodiversity
100000,governments minimum ecological flow requirements set minimum flow targets sustain basic ecosystem function flow jian river basin flow qing jian river basin flow hong nong jian river basin flow shichuan river basin,Biodiversity
100000,grain green program introduced improve catchment landscape management ecological restoration doubling vegetation cover,Biodiversity
100000,growing pressure chinas natural resources constrain future growth,Biodiversity
100000,implementation program brings opportunities change womens role local resource management decisionmaking benefits influenced gender differences,Biodiversity
100000,government program pillars national food security economic development employment creation protection utilization natural resources,Biodiversity
100000,indicator measures level reach coastal tourism advertisement indicator people reached campaigns promote campaign analysis campaign international national coastal tourism moroccan tourism annual progress onmt progress reports advertisement campaigns national international reports levels,Biodiversity
100000,direct reporting page agriculture chain development project icare relationship aiats iaard ensure strong coordination learning project locations proposed locations cover broad geography,Biodiversity
100000,dominant soil type highactivity clay soils,Biodiversity
100000,evolving opportunities constraints facing agriculture food sector require innovative set integrated support measures,Biodiversity
100000,financial analyses representative agriculture production models supported project shown economic viability potential financial sustainability,Biodiversity
100000,financial analysis informed project design costing helped identify economically viable financially sustainable production activities food crops horticulture estate crops livestock chains estimate amount kp matching grant required supporting targeted farmers,Biodiversity
100000,environmental social monitoring reporting framework build existing ndoh systems include measurable performance indicators es performance project measured,Biodiversity
100000,increased share women herder users measures relative increase participation women herders livestock trading independently result enhanced information market access livestock transport logistics platform,Biodiversity
100000,information flow supports market trade chain enables transactions branded visible product records transactions payments ensuring stable pricing mechanism ensures fair distribution chain herder fair animals carcasses,Biodiversity
