"Project","SDG","Frequency"
"P079032","SDG 17",137
"P079032","SDG 11",52
"P079032","SDG 1",24
"P079032","SDG 16",24
"P079032","SDG 6",23
"P079032","SDG 10",15
"P079032","SDG 13",15
"P079032","SDG 4",15
"P079032","SDG 7",15
"P079032","SDG 9",10
"P079032","SDG 12",8
"P079032","SDG 2",7
"P079032","SDG 15",5
"P079032","SDG 3",5
"P079032","SDG 14",4
"P085375","SDG 6",303
"P085375","SDG 16",69
"P085375","SDG 17",65
"P085375","SDG 11",61
"P085375","SDG 5",28
"P085375","SDG 13",26
"P085375","SDG 10",22
"P085375","SDG 4",22
"P085375","SDG 1",20
"P085375","SDG 15",18
"P085375","SDG 9",18
"P085375","SDG 3",15
"P085375","SDG 12",11
"P085375","SDG 2",7
"P085375","SDG 14",6
"P085375","SDG 7",1
"P085375","SDG 8",1
"P086592","SDG 2",96
"P086592","SDG 17",63
"P086592","SDG 16",59
"P086592","SDG 6",58
"P086592","SDG 11",42
"P086592","SDG 15",36
"P086592","SDG 9",28
"P086592","SDG 1",16
"P086592","SDG 13",14
"P086592","SDG 4",10
"P086592","SDG 10",9
"P086592","SDG 14",7
"P086592","SDG 5",6
"P086592","SDG 7",4
"P086592","SDG 12",3
"P086592","SDG 3",1
"P086592","SDG 8",1
"P088799","SDG 2",175
"P088799","SDG 11",114
"P088799","SDG 15",100
"P088799","SDG 17",87
"P088799","SDG 16",71
"P088799","SDG 1",51
"P088799","SDG 10",40
"P088799","SDG 12",25
"P088799","SDG 9",25
"P088799","SDG 4",21
"P088799","SDG 13",18
"P088799","SDG 3",16
"P088799","SDG 14",13
"P088799","SDG 6",13
"P088799","SDG 5",11
"P088799","SDG 7",3
"P088966","SDG 11",133
"P088966","SDG 17",98
"P088966","SDG 16",36
"P088966","SDG 6",36
"P088966","SDG 3",28
"P088966","SDG 1",27
"P088966","SDG 4",23
"P088966","SDG 15",22
"P088966","SDG 9",22
"P088966","SDG 10",18
"P088966","SDG 12",15
"P088966","SDG 14",11
"P088966","SDG 2",5
"P088966","SDG 13",4
"P088966","SDG 5",4
"P088966","SDG 7",3
"P088966","SDG 8",2
