"SDG","Target","Frequency","Color"
"SDG 6","SDG 6.2",265,"#26BDE2"
"SDG 2","SDG 2.a",209,"#DDA63A"
"SDG 17","SDG 17.5",172,"#19486A"
"SDG 16","SDG 16.10",130,"#00689D"
"SDG 11","SDG 11.6",127,"#FD9D24"
"SDG 6","SDG 6.4",123,"#26BDE2"
"SDG 17","SDG 17.17",122,"#19486A"
"SDG 11","SDG 11.a",120,"#FD9D24"
"SDG 15","SDG 15.3",110,"#56C02B"
"SDG 1","SDG 1.1",81,"#E5243B"
"SDG 4","SDG 4.2",67,"#C5192D"
"SDG 2","SDG 2.4",56,"#DDA63A"
"SDG 11","SDG 11.3",55,"#FD9D24"
"SDG 17","SDG 17.19",54,"#19486A"
"SDG 16","SDG 16.6",50,"#00689D"
"SDG 10","SDG 10.3",49,"#DD1367"
"SDG 9","SDG 9.b",49,"#FD6925"
"SDG 13","SDG 13.3",46,"#3F7E44"
"SDG 1","SDG 1.3",44,"#E5243B"
"SDG 15","SDG 15.9",43,"#56C02B"
"SDG 5","SDG 5.1",37,"#FF3A21"
"SDG 6","SDG 6.b",31,"#26BDE2"
"SDG 16","SDG 16.9",30,"#00689D"
"SDG 9","SDG 9.a",30,"#FD6925"
"SDG 17","SDG 17.4",29,"#19486A"
"SDG 17","SDG 17.6",26,"#19486A"
"SDG 12","SDG 12.4 ",25,"#BF8B2E"
"SDG 17","SDG 17.1",24,"#19486A"
"SDG 10","SDG 10.5",23,"#DD1367"
"SDG 16","SDG 16.1",23,"#00689D"
"SDG 11","SDG 11.1",22,"#FD9D24"
"SDG 11","SDG 11.7",22,"#FD9D24"
"SDG 7","SDG 7.3",22,"#FCC30B"
"SDG 13","SDG 13.a",20,"#3F7E44"
"SDG 10","SDG 10.7",18,"#DD1367"
"SDG 2","SDG 2.5",18,"#DDA63A"
"SDG 11","SDG 11.2",17,"#FD9D24"
"SDG 17","SDG 17.8",17,"#19486A"
"SDG 3","SDG 3.8",17,"#4C9F38"
"SDG 16","SDG 16.7",16,"#00689D"
"SDG 11","SDG 11.5",15,"#FD9D24"
"SDG 3","SDG 3.2",15,"#4C9F38"
"SDG 3","SDG 3.6 ",15,"#4C9F38"
"SDG 9","SDG 9.5",14,"#FD6925"
"SDG 11","SDG 11.4",13,"#FD9D24"
"SDG 12","SDG 12.3",13,"#BF8B2E"
"SDG 4","SDG 4.5",13,"#C5192D"
"SDG 14","SDG 14.4",11,"#0A97D9"
"SDG 6","SDG 6.3",11,"#26BDE2"
"SDG 10","SDG 10.2",9,"#DD1367"
"SDG 12","SDG 12.1",9,"#BF8B2E"
"SDG 9","SDG 9.3",9,"#FD6925"
"SDG 1","SDG 1.5",8,"#E5243B"
"SDG 12","SDG 12.6",8,"#BF8B2E"
"SDG 14","SDG 14.a",8,"#0A97D9"
"SDG 14","SDG 14.c",8,"#0A97D9"
"SDG 15","SDG 15.b",8,"#56C02B"
"SDG 5","SDG 5.5",8,"#FF3A21"
"SDG 11","SDG 11.b",7,"#FD9D24"
"SDG 14","SDG 14.2",7,"#0A97D9"
"SDG 15","SDG 15.a",7,"#56C02B"
"SDG 14","SDG 14.1",6,"#0A97D9"
"SDG 2","SDG 2.3",6,"#DDA63A"
"SDG 13","SDG 13.2",5,"#3F7E44"
