"Project","SDG","Frequency","Color"
"P079032","SDG 1",1,"#E5243B"
"P079032","SDG 10",1,"#DD1367"
"P079032","SDG 11",1,"#FD9D24"
"P079032","SDG 12",1,"#BF8B2E"
"P079032","SDG 13",1,"#3F7E44"
"P079032","SDG 14",1,"#0A97D9"
"P079032","SDG 15",1,"#56C02B"
"P079032","SDG 16",1,"#00689D"
"P079032","SDG 17",1,"#19486A"
"P079032","SDG 2",1,"#DDA63A"
"P079032","SDG 3",1,"#4C9F38"
"P079032","SDG 4",1,"#C5192D"
"P079032","SDG 6",1,"#26BDE2"
"P079032","SDG 7",1,"#FCC30B"
"P079032","SDG 9",1,"#FD6925"
"P085375","SDG 1",1,"#E5243B"
"P085375","SDG 10",1,"#DD1367"
"P085375","SDG 11",1,"#FD9D24"
"P085375","SDG 12",1,"#BF8B2E"
"P085375","SDG 13",1,"#3F7E44"
"P085375","SDG 14",1,"#0A97D9"
"P085375","SDG 15",1,"#56C02B"
"P085375","SDG 16",1,"#00689D"
"P085375","SDG 17",1,"#19486A"
"P085375","SDG 2",1,"#DDA63A"
"P085375","SDG 3",1,"#4C9F38"
"P085375","SDG 4",1,"#C5192D"
"P085375","SDG 5",1,"#FF3A21"
"P085375","SDG 6",1,"#26BDE2"
"P085375","SDG 7",1,"#FCC30B"
"P085375","SDG 8",1,"#A21942"
"P085375","SDG 9",1,"#FD6925"
"P086592","SDG 3",1,"#4C9F38"
"P086592","SDG 4",1,"#C5192D"
"P086592","SDG 5",1,"#FF3A21"
"P086592","SDG 6",1,"#26BDE2"
"P086592","SDG 7",1,"#FCC30B"
"P086592","SDG 8",1,"#A21942"
"P086592","SDG 9",1,"#FD6925"
"P086592","SDG 1",1,"#E5243B"
"P086592","SDG 10",1,"#DD1367"
"P086592","SDG 11",1,"#FD9D24"
"P086592","SDG 12",1,"#BF8B2E"
"P086592","SDG 13",1,"#3F7E44"
"P086592","SDG 14",1,"#0A97D9"
"P086592","SDG 15",1,"#56C02B"
"P086592","SDG 16",1,"#00689D"
"P086592","SDG 17",1,"#19486A"
"P086592","SDG 2",1,"#DDA63A"
"P088799","SDG 1",1,"#E5243B"
"P088799","SDG 10",1,"#DD1367"
"P088799","SDG 11",1,"#FD9D24"
"P088799","SDG 12",1,"#BF8B2E"
"P088799","SDG 13",1,"#3F7E44"
"P088799","SDG 14",1,"#0A97D9"
"P088799","SDG 15",1,"#56C02B"
"P088799","SDG 16",1,"#00689D"
"P088799","SDG 17",1,"#19486A"
"P088799","SDG 2",1,"#DDA63A"
"P088799","SDG 3",1,"#4C9F38"
"P088799","SDG 4",1,"#C5192D"
"P088799","SDG 5",1,"#FF3A21"
"P088799","SDG 6",1,"#26BDE2"
"P088799","SDG 7",1,"#FCC30B"
"P088799","SDG 9",1,"#FD6925"
"P088966","SDG 1",1,"#E5243B"
"P088966","SDG 10",1,"#DD1367"
"P088966","SDG 11",1,"#FD9D24"
"P088966","SDG 12",1,"#BF8B2E"
"P088966","SDG 13",1,"#3F7E44"
"P088966","SDG 14",1,"#0A97D9"
"P088966","SDG 15",1,"#56C02B"
"P088966","SDG 16",1,"#00689D"
"P088966","SDG 17",1,"#19486A"
"P088966","SDG 2",1,"#DDA63A"
"P088966","SDG 3",1,"#4C9F38"
"P088966","SDG 4",1,"#C5192D"
"P088966","SDG 5",1,"#FF3A21"
"P088966","SDG 6",1,"#26BDE2"
"P088966","SDG 7",1,"#FCC30B"
"P088966","SDG 8",1,"#A21942"
"P088966","SDG 9",1,"#FD6925"
