"Project","Frequency"
"166991",10
"167795",11
"167894",12
"168634",12
"168943",9
"169330",11
"169548",10
"169983",9
"170131",11
"170178",8
"170230",10
"170236",11
"170590",8
"170891",14
"171150",9
"171266",11
"171311",12
"171644",10
"172187",9
"172256",9
"172592",8
"172707",11
"172806",10
"172926",10
"173151",10
"173487",9
"173589",3
"173782",5
"174067",7
"174191",6
"174246",10
"174251",10
"174259",9
"174367",10
"174564",8
"174732",12
"174798",8
"174806",11
"174812",10
"175011",12
"175221",11
"175317",7
"175455",12
"175493",11
"175543",10
"175592",11
"175640",8
"175669",13
"175676",7
"175742",11
"175747",3
"175801",12
"175874",8
"175930",11
"175987",9
"176006",9
"176017",8
"176105",10
"176164",11
"176232",10
"176608",9
"P176297",8
"P176353",10
"P176404",8
"P176420",10
"P176505",11
"P176581",9
"P176630",7
"P176650",8
"P176770",10
"P176781",10
"P176788",9
"P176803",9
"P176891",8
"P176903",9
"P176905",9
"P176937",9
"P176983",12
"P177004",8
"P177038",7
"P177125",5
"P177305",4
"P177590",12
"P177632",11
"P177668",7
"P177726",12
"P177765",11
"P177856",7
"P177895",8
"P177931",10
"P177959",8
"P177985",5
"P177987",8
"P178009",7
"P178043",10
"P178067t",8
"P178146",8
"P178181",5
"P178215",9
"P178224",9
"P178285",11
"P178320",6
"P178329",7
"P178563",5
"P178564",9
"P178587",7
"P178729",10
"P178866",10
"P178912",9
"P178926",8
"P178946",8
"P179010",7
