"Project","Unit","SDG 1","SDG 2","SDG 3","SDG 4","SDG 5","SDG 6","SDG 7","SDG 8","SDG 9","SDG 10","SDG 11","SDG 12","SDG 13","SDG 14","SDG 15","SDG 16","SDG 17","Main_SDG"
"P079032","# matches",52,1,92,59,66,69,70,66,171,69,85,174,162,1,1,2,1,"SDG 12"
"P085375","# matches",110,3,97,106,119,117,87,99,304,118,121,313,273,1,1,0,1,"SDG 12"
"P086592","# matches",100,1,91,82,65,90,80,85,245,95,104,209,188,2,0,0,0,"SDG 9"
"P088799","# matches",128,1,125,132,124,116,105,114,340,119,147,310,256,0,1,0,1,"SDG 9"
"P088966","# matches",84,0,72,77,74,87,80,85,234,85,107,209,177,3,2,0,0,"SDG 9"
"P089985","# matches",73,4,76,72,94,70,68,80,198,89,83,209,180,0,1,1,0,"SDG 12"
"P090990","# matches",47,2,53,46,54,46,41,51,134,53,54,127,117,0,1,0,0,"SDG 9"
"P092218","# matches",52,0,64,56,50,59,41,64,151,58,65,128,118,1,2,1,0,"SDG 9"
"P092429","# matches",33,1,43,37,43,48,28,54,130,45,34,97,102,1,2,0,0,"SDG 9"
"P093765","# matches",75,1,80,83,80,76,71,85,215,87,73,203,161,0,1,2,0,"SDG 9"
"P093775","# matches",76,3,92,92,81,73,75,84,202,75,83,201,180,0,1,1,1,"SDG 9"
"P096124","# matches",127,5,150,129,151,161,129,141,418,143,154,346,319,1,3,2,0,"SDG 9"
"P096481","# matches",63,1,61,70,64,48,60,53,174,62,65,167,147,0,0,1,0,"SDG 9"
"P096532","# matches",98,3,105,101,96,91,106,88,260,129,117,301,234,2,0,2,1,"SDG 12"
"P099270","# matches",84,3,112,104,101,90,98,114,300,97,108,247,225,1,1,2,0,"SDG 9"
"P101103","# matches",87,3,82,73,70,71,70,85,202,72,88,188,176,0,0,0,1,"SDG 9"
