"Project","Frequency"
"172806",48
"168634",46
"P176983",45
"171311",44
"P177590",43
"171266",42
"174806",42
"175455",42
"170131",41
"172926",41
"175011",41
"P176937",41
"170891",39
"175543",39
"169330",38
"174732",37
"176232",36
"171644",35
"175221",35
"P177765",35
"175801",33
"175930",33
"P176505",33
"170236",32
"175493",32
"175987",32
"171150",31
"172707",31
"173487",31
"P177632",31
"P178224",31
"173151",30
"175592",29
"P176903",29
"176105",28
"P176650",28
"167795",27
"167894",27
"174251",27
"175669",27
"P176420",27
"P176781",27
"P176905",27
"P177038",27
"168943",26
"169983",26
"172187",26
"174246",26
"175874",26
"176608",26
"P178729",26
"174259",25
"P176788",25
"175742",24
"P177895",24
"P178215",24
"170230",23
"174191",23
"174367",23
"174812",23
"P176353",23
"P176891",23
"P177726",23
"P176770",22
"P177931",22
"174067",21
"176164",21
"P178912",21
"P179010",21
"170590",20
"172592",20
"P177125",20
"P178009",20
"P178043",20
"P178329",20
"169548",19
"175640",19
"176006",19
"P176630",19
"P177004",19
"P177959",19
"P178067t",19
"P178926",19
"170178",18
"175317",18
"P176297",18
"P176803",18
"P177668",18
"P178285",18
"172256",17
"174564",17
"176017",17
"P177987",17
"P178564",17
"166991",16
"173782",16
"P176404",16
"P177985",16
"P178146",16
"P178866",16
"P178181",15
"P178320",15
"175676",14
"P178587",14
"174798",13
"P176581",13
"P177856",12
"P178946",12
"P177305",10
"P178563",8
"175747",7
"173589",3
