"SDG","Target","Frequency","Color"
"SDG 12","SDG 12.6",2281,"#BF8B2E"
"SDG 13","SDG 13.1",1136,"#3F7E44"
"SDG 13","SDG 13.2",1077,"#3F7E44"
"SDG 9","SDG 9.3",488,"#FD6925"
"SDG 9","SDG 9.1",477,"#FD6925"
"SDG 9","SDG 9.5",470,"#FD6925"
"SDG 9","SDG 9.a",468,"#FD6925"
"SDG 9","SDG 9.c",465,"#FD6925"
"SDG 9","SDG 9.b",455,"#FD6925"
"SDG 9","SDG 9.2",451,"#FD6925"
"SDG 9","SDG 9.4",403,"#FD6925"
"SDG 7","SDG 7.1",280,"#FCC30B"
"SDG 7","SDG 7.3",273,"#FCC30B"
"SDG 7","SDG 7.a",253,"#FCC30B"
"SDG 7","SDG 7.b",253,"#FCC30B"
"SDG 13","SDG 13.b",244,"#3F7E44"
"SDG 13","SDG 13.3",243,"#3F7E44"
"SDG 13","SDG 13.a",212,"#3F7E44"
"SDG 1","SDG 1.b",209,"#E5243B"
"SDG 1","SDG 1.1",207,"#E5243B"
"SDG 1","SDG 1.4",203,"#E5243B"
"SDG 10","SDG 10.c",199,"#DD1367"
"SDG 1","SDG 1.5",198,"#E5243B"
"SDG 1","SDG 1.3",187,"#E5243B"
"SDG 1","SDG 1.2",185,"#E5243B"
"SDG 1","SDG 1.a",185,"#E5243B"
"SDG 11","SDG 11.1",185,"#FD9D24"
"SDG 6","SDG 6.3",182,"#26BDE2"
"SDG 10","SDG 10.b",181,"#DD1367"
"SDG 6","SDG 6.5",179,"#26BDE2"
"SDG 6","SDG 6.6",179,"#26BDE2"
"SDG 11","SDG 11.5",173,"#FD9D24"
"SDG 5","SDG 5.3",173,"#FF3A21"
"SDG 5","SDG 5.b",172,"#FF3A21"
"SDG 11","SDG 11.c",169,"#FD9D24"
"SDG 10","SDG 10.a",167,"#DD1367"
"SDG 12","SDG 12.4",163,"#BF8B2E"
"SDG 7","SDG 7.2",160,"#FCC30B"
"SDG 6","SDG 6.1",158,"#26BDE2"
"SDG 6","SDG 6.a",158,"#26BDE2"
"SDG 6","SDG 6.b",158,"#26BDE2"
"SDG 5","SDG 5.5",156,"#FF3A21"
"SDG 6","SDG 6.2",154,"#26BDE2"
"SDG 4","SDG 4.b",152,"#C5192D"
"SDG 5","SDG 5.1",152,"#FF3A21"
"SDG 6","SDG 6.4",152,"#26BDE2"
"SDG 5","SDG 5.6",151,"#FF3A21"
"SDG 5","SDG 5.c",147,"#FF3A21"
"SDG 5","SDG 5.a",146,"#FF3A21"
"SDG 10","SDG 10.3",144,"#DD1367"
"SDG 11","SDG 11.6",143,"#FD9D24"
"SDG 10","SDG 10.1",140,"#DD1367"
"SDG 11","SDG 11.7",140,"#FD9D24"
"SDG 12","SDG 12.8",140,"#BF8B2E"
"SDG 4","SDG 4.5",140,"#C5192D"
"SDG 10","SDG 10.2",137,"#DD1367"
"SDG 4","SDG 4.1",137,"#C5192D"
"SDG 12","SDG 12.7",136,"#BF8B2E"
"SDG 11","SDG 11.2",133,"#FD9D24"
"SDG 11","SDG 11.4",132,"#FD9D24"
"SDG 11","SDG 11.b",131,"#FD9D24"
"SDG 3","SDG 3.d",130,"#4C9F38"
"SDG 4","SDG 4.2",129,"#C5192D"
"SDG 8","SDG 8.a",129,"#A21942"
"SDG 12","SDG 12.a",128,"#BF8B2E"
"SDG 4","SDG 4.3",128,"#C5192D"
"SDG 4","SDG 4.7",128,"#C5192D"
"SDG 10","SDG 10.4",125,"#DD1367"
"SDG 11","SDG 11.a",125,"#FD9D24"
"SDG 12","SDG 12.1",125,"#BF8B2E"
"SDG 4","SDG 4.4",125,"#C5192D"
