"Project","Unit","SDG 1","SDG 2","SDG 3","SDG 4","SDG 5","SDG 6","SDG 7","SDG 8","SDG 9","SDG 10","SDG 11","SDG 12","SDG 13","SDG 14","SDG 15","SDG 16","SDG 17","Main_SDG"
"166991","# matches",2,0,2,0,1,0,0,0,0,2,2,1,1,0,1,1,3,"SDG 17"
"167795","# matches",1,1,0,0,1,1,0,0,3,0,7,1,3,1,0,1,7,"SDG 11"
"167894","# matches",1,2,1,0,0,1,0,0,4,3,2,1,1,0,1,5,5,"SDG 16"
"168634","# matches",1,0,4,0,0,1,0,2,1,1,3,3,13,0,1,6,10,"SDG 13"
"168943","# matches",0,1,1,1,0,6,2,0,0,0,8,2,3,0,0,0,2,"SDG 11"
"169330","# matches",1,1,0,1,0,0,1,0,0,0,2,1,5,3,2,7,14,"SDG 17"
"169548","# matches",1,1,1,0,0,0,1,0,1,1,4,0,2,0,0,1,6,"SDG 17"
"169983","# matches",2,1,0,0,1,0,0,0,3,0,1,1,3,0,0,3,11,"SDG 17"
"170131","# matches",1,1,0,3,0,0,1,0,0,0,4,6,8,2,1,7,7,"SDG 13"
"170178","# matches",0,0,1,3,1,0,0,0,1,0,0,0,6,1,0,2,3,"SDG 13"
"170230","# matches",1,1,0,0,0,0,2,0,0,2,2,3,3,0,1,3,5,"SDG 17"
"170236","# matches",1,2,0,0,1,0,8,0,2,0,1,1,2,1,0,5,8,"SDG 17"
"170590","# matches",0,2,0,0,0,1,0,0,1,2,2,0,4,0,0,4,4,"SDG 13"
"170891","# matches",2,0,0,1,1,8,2,0,1,1,5,1,10,1,1,3,2,"SDG 13"
"171150","# matches",4,1,9,3,0,0,0,2,0,1,0,0,4,0,0,4,3,"SDG 3"
"171266","# matches",3,22,1,0,0,1,0,0,2,2,1,4,1,0,0,2,3,"SDG 2"
"171311","# matches",0,1,1,0,1,0,1,1,1,0,4,3,2,6,0,2,21,"SDG 17"
"171644","# matches",2,1,0,0,0,3,0,0,0,2,5,5,5,4,0,5,3,"SDG 11"
"172187","# matches",1,2,0,0,0,3,0,0,1,2,7,0,6,0,1,0,3,"SDG 11"
"172256","# matches",0,1,1,0,0,0,1,0,0,0,2,3,1,0,2,3,3,"SDG 16"
"172592","# matches",0,8,0,0,1,0,0,0,0,1,0,1,3,0,2,2,2,"SDG 2"
"172707","# matches",1,1,9,1,2,0,0,0,1,1,5,0,1,0,0,4,5,"SDG 3"
"172806","# matches",0,0,1,0,1,7,0,0,0,2,14,0,4,5,10,1,3,"SDG 11"
"172926","# matches",0,1,0,0,0,0,0,2,0,3,2,2,4,9,1,2,15,"SDG 17"
"173151","# matches",1,0,2,6,1,0,0,0,1,0,1,1,1,0,0,5,11,"SDG 17"
"173487","# matches",0,5,0,0,0,0,1,0,4,0,5,1,2,0,1,2,10,"SDG 17"
"173589","# matches",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"SDG 12"
"173782","# matches",0,1,2,0,0,0,0,0,2,0,0,0,7,0,0,0,4,"SDG 13"
"174067","# matches",1,0,0,1,0,0,0,0,3,0,0,0,4,0,2,6,4,"SDG 16"
"174191","# matches",1,2,0,0,0,0,0,0,0,0,6,2,9,0,0,0,3,"SDG 13"
"174246","# matches",3,3,1,0,0,1,0,0,1,0,1,1,2,0,0,4,9,"SDG 17"
"174251","# matches",1,0,2,1,0,0,0,0,3,3,2,0,8,0,1,2,4,"SDG 13"
"174259","# matches",2,1,11,0,0,0,0,1,1,0,2,2,2,0,0,0,3,"SDG 3"
"174367","# matches",0,1,0,0,0,0,1,1,0,1,2,1,4,0,1,4,7,"SDG 17"
"174564","# matches",4,0,0,0,4,1,0,1,0,0,2,0,1,0,0,2,2,"SDG 1"
"174732","# matches",2,0,1,0,1,8,0,2,1,5,8,1,2,0,0,4,2,"SDG 11"
"174798","# matches",0,0,0,0,1,0,0,0,0,1,2,1,2,2,0,3,1,"SDG 16"
"174806","# matches",0,2,7,2,3,0,0,0,2,0,1,3,6,0,1,1,14,"SDG 17"
"174812","# matches",0,1,1,1,0,0,0,0,2,4,3,0,1,2,0,2,6,"SDG 17"
"175011","# matches",1,6,0,1,0,0,0,0,1,2,2,4,9,3,6,3,3,"SDG 13"
"175221","# matches",3,2,0,0,2,2,1,0,0,1,6,0,2,2,0,8,6,"SDG 16"
"175317","# matches",2,0,3,0,0,0,0,0,1,1,2,0,0,0,0,2,7,"SDG 17"
"175455","# matches",2,0,4,0,0,1,1,1,2,3,1,1,1,0,0,11,14,"SDG 17"
"175493","# matches",1,13,2,1,2,0,0,0,0,0,2,4,3,0,1,2,1,"SDG 2"
"175543","# matches",1,0,1,0,0,0,0,0,0,1,2,2,6,1,2,4,19,"SDG 17"
"175592","# matches",1,0,0,2,0,0,0,1,2,1,2,0,4,1,3,3,9,"SDG 17"
"175640","# matches",2,0,0,0,0,0,2,0,0,2,2,4,2,0,0,3,2,"SDG 12"
"175669","# matches",1,2,1,0,1,0,0,1,3,2,1,0,2,6,4,2,1,"SDG 14"
"175676","# matches",0,0,2,0,0,0,0,0,1,0,4,2,1,1,0,3,0,"SDG 11"
"175742","# matches",1,4,2,1,2,0,0,0,0,2,1,4,2,1,0,0,4,"SDG 12"
"175747","# matches",0,1,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,"SDG 6"
"175801","# matches",3,1,0,1,0,1,0,0,1,4,1,1,0,2,2,1,15,"SDG 17"
"175874","# matches",1,0,0,0,0,0,7,0,3,0,3,2,1,0,0,1,8,"SDG 17"
"175930","# matches",4,3,1,0,0,0,2,0,1,0,6,0,7,1,1,4,3,"SDG 13"
"175987","# matches",0,0,2,0,0,1,0,0,0,5,5,1,1,0,1,8,8,"SDG 16"
"176006","# matches",2,0,0,3,0,0,0,0,0,1,4,1,4,0,1,2,1,"SDG 11"
"176017","# matches",0,2,0,0,1,0,0,2,0,0,1,0,2,0,1,1,7,"SDG 17"
"176105","# matches",0,2,0,9,0,2,0,0,3,0,3,1,2,1,0,1,4,"SDG 4"
"176164","# matches",1,1,1,1,1,0,0,1,2,0,4,0,4,0,0,2,3,"SDG 11"
"176232","# matches",0,8,0,0,1,3,0,0,1,2,2,0,10,0,1,3,5,"SDG 13"
"176608","# matches",1,0,0,0,0,0,1,0,4,3,5,0,4,1,0,5,2,"SDG 11"
"P176297","# matches",0,2,1,0,1,0,0,0,3,0,0,1,3,1,0,0,6,"SDG 17"
"P176353","# matches",3,4,1,1,1,0,0,0,0,2,1,1,1,0,0,0,8,"SDG 17"
"P176404","# matches",1,0,1,2,0,0,0,0,0,2,2,0,4,0,0,2,2,"SDG 13"
"P176420","# matches",0,1,0,0,0,0,0,0,1,2,2,1,4,6,1,2,7,"SDG 17"
"P176505","# matches",2,0,3,2,1,2,0,0,1,2,7,0,2,1,0,0,10,"SDG 17"
"P176581","# matches",1,1,0,0,0,0,0,1,1,0,3,2,2,1,0,0,1,"SDG 11"
"P176630","# matches",0,0,9,0,0,0,0,0,2,0,2,1,1,0,0,2,2,"SDG 3"
"P176650","# matches",2,0,1,0,0,0,0,0,2,0,3,0,8,0,4,2,6,"SDG 13"
"P176770","# matches",2,0,0,0,1,0,10,0,1,2,2,1,1,0,0,1,1,"SDG 7"
"P176781","# matches",2,0,5,1,2,0,0,2,0,1,4,1,0,0,0,2,7,"SDG 17"
"P176788","# matches",8,1,0,0,0,0,2,0,0,2,3,1,1,0,2,0,5,"SDG 1"
"P176803","# matches",1,0,0,1,0,0,2,0,1,0,1,0,3,2,0,4,3,"SDG 16"
"P176891","# matches",2,2,0,0,1,1,0,0,0,1,2,0,0,0,0,2,12,"SDG 17"
"P176903","# matches",3,3,2,0,0,1,0,0,0,0,3,1,2,0,0,2,12,"SDG 17"
"P176905","# matches",0,6,0,1,2,0,0,1,0,1,0,3,6,0,1,0,6,"SDG 13"
"P176937","# matches",9,2,4,0,0,0,0,0,1,0,3,4,8,0,0,1,9,"SDG 1"
"P176983","# matches",3,3,1,0,2,0,7,0,0,0,4,2,10,1,1,2,9,"SDG 13"
"P177004","# matches",1,0,0,0,0,2,1,0,3,1,0,0,3,0,0,4,4,"SDG 16"
"P177038","# matches",0,0,13,0,0,0,0,0,0,0,2,4,0,3,1,3,1,"SDG 3"
"P177125","# matches",1,1,0,0,0,0,0,0,0,0,4,0,7,0,0,0,7,"SDG 13"
"P177305","# matches",0,6,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,"SDG 2"
"P177590","# matches",1,13,0,1,0,0,0,0,1,1,4,9,4,1,1,3,4,"SDG 2"
"P177632","# matches",3,4,0,0,1,0,0,0,2,2,2,2,4,4,0,1,6,"SDG 17"
"P177668","# matches",0,0,3,0,0,0,0,0,1,0,0,0,3,3,1,4,3,"SDG 16"
"P177726","# matches",1,3,1,0,0,0,1,0,2,0,3,2,1,2,1,2,4,"SDG 17"
"P177765","# matches",2,1,0,0,0,2,1,1,3,0,4,0,4,1,1,0,15,"SDG 17"
"P177856","# matches",0,0,1,1,0,0,0,0,2,0,1,0,1,0,0,2,4,"SDG 17"
"P177895","# matches",1,1,1,0,0,0,0,0,0,0,3,2,4,0,0,7,5,"SDG 16"
"P177931","# matches",0,5,0,0,0,0,0,0,1,2,1,1,1,3,1,3,4,"SDG 2"
"P177959","# matches",0,0,1,0,1,0,0,2,1,0,0,3,1,0,0,8,2,"SDG 16"
"P177985","# matches",0,0,0,0,0,0,0,0,4,0,1,0,3,0,0,2,6,"SDG 17"
"P177987","# matches",1,0,6,0,0,0,0,0,1,0,0,1,2,1,0,3,2,"SDG 3"
"P178009","# matches",0,1,0,0,0,1,0,0,0,0,0,0,8,5,3,1,1,"SDG 13"
"P178043","# matches",1,1,1,0,0,0,0,1,1,0,2,1,2,0,0,2,8,"SDG 17"
"P178067t","# matches",0,1,4,1,0,0,0,0,1,0,5,0,2,0,0,3,2,"SDG 11"
"P178146","# matches",0,0,3,1,0,0,0,0,0,0,5,1,1,0,1,3,1,"SDG 11"
"P178181","# matches",0,1,9,0,0,0,0,0,2,0,0,0,2,0,0,0,1,"SDG 3"
"P178215","# matches",0,0,1,0,1,0,0,0,3,0,2,2,10,0,1,1,3,"SDG 13"
"P178224","# matches",7,0,0,0,1,0,0,0,0,1,2,0,3,1,2,4,10,"SDG 17"
"P178285","# matches",1,2,0,0,0,0,1,1,0,1,1,0,3,2,1,3,2,"SDG 13"
"P178320","# matches",0,0,5,0,0,0,0,0,2,0,2,0,0,0,1,2,3,"SDG 3"
"P178329","# matches",0,1,0,0,0,0,0,0,1,0,3,0,3,0,1,2,9,"SDG 17"
"P178563","# matches",0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,3,"SDG 17"
"P178564","# matches",0,1,0,0,0,0,1,2,0,0,1,0,1,1,2,3,5,"SDG 17"
"P178587","# matches",0,0,3,0,0,0,0,0,1,1,2,0,2,0,0,1,4,"SDG 17"
"P178729","# matches",1,0,1,1,0,0,0,0,0,1,5,1,1,2,0,1,12,"SDG 17"
"P178866","# matches",1,0,0,0,0,1,0,1,1,2,1,4,2,0,0,1,2,"SDG 12"
"P178912","# matches",0,2,0,0,0,1,0,0,0,2,3,0,2,1,1,3,6,"SDG 17"
"P178926","# matches",2,2,0,0,1,0,0,0,0,0,2,4,2,0,0,3,3,"SDG 12"
"P178946","# matches",0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,2,4,"SDG 17"
"P179010","# matches",2,5,0,0,0,0,0,0,1,0,0,5,2,1,0,0,5,"SDG 12"
