"Project","Unit","SDG 1","SDG 2","SDG 3","SDG 4","SDG 5","SDG 6","SDG 7","SDG 8","SDG 9","SDG 10","SDG 11","SDG 12","SDG 13","SDG 14","SDG 15","SDG 16","SDG 17","Main_SDG"
"166991","%",12.5,0,12.5,0,6.2,0,0,0,0,12.5,12.5,6.2,6.2,0,6.2,6.2,18.8,"SDG 17"
"167795","%",3.7,3.7,0,0,3.7,3.7,0,0,11.1,0,25.9,3.7,11.1,3.7,0,3.7,25.9,"SDG 11"
"167894","%",3.7,7.4,3.7,0,0,3.7,0,0,14.8,11.1,7.4,3.7,3.7,0,3.7,18.5,18.5,"SDG 16"
"168634","%",2.2,0,8.7,0,0,2.2,0,4.3,2.2,2.2,6.5,6.5,28.3,0,2.2,13,21.7,"SDG 13"
"168943","%",0,3.8,3.8,3.8,0,23.1,7.7,0,0,0,30.8,7.7,11.5,0,0,0,7.7,"SDG 11"
"169330","%",2.6,2.6,0,2.6,0,0,2.6,0,0,0,5.3,2.6,13.2,7.9,5.3,18.4,36.8,"SDG 17"
"169548","%",5.3,5.3,5.3,0,0,0,5.3,0,5.3,5.3,21.1,0,10.5,0,0,5.3,31.6,"SDG 17"
"169983","%",7.7,3.8,0,0,3.8,0,0,0,11.5,0,3.8,3.8,11.5,0,0,11.5,42.3,"SDG 17"
"170131","%",2.4,2.4,0,7.3,0,0,2.4,0,0,0,9.8,14.6,19.5,4.9,2.4,17.1,17.1,"SDG 13"
"170178","%",0,0,5.6,16.7,5.6,0,0,0,5.6,0,0,0,33.3,5.6,0,11.1,16.7,"SDG 13"
"170230","%",4.3,4.3,0,0,0,0,8.7,0,0,8.7,8.7,13,13,0,4.3,13,21.7,"SDG 17"
"170236","%",3.1,6.2,0,0,3.1,0,25,0,6.2,0,3.1,3.1,6.2,3.1,0,15.6,25,"SDG 17"
"170590","%",0,10,0,0,0,5,0,0,5,10,10,0,20,0,0,20,20,"SDG 13"
"170891","%",5.1,0,0,2.6,2.6,20.5,5.1,0,2.6,2.6,12.8,2.6,25.6,2.6,2.6,7.7,5.1,"SDG 13"
"171150","%",12.9,3.2,29,9.7,0,0,0,6.5,0,3.2,0,0,12.9,0,0,12.9,9.7,"SDG 3"
"171266","%",7.1,52.4,2.4,0,0,2.4,0,0,4.8,4.8,2.4,9.5,2.4,0,0,4.8,7.1,"SDG 2"
"171311","%",0,2.3,2.3,0,2.3,0,2.3,2.3,2.3,0,9.1,6.8,4.5,13.6,0,4.5,47.7,"SDG 17"
"171644","%",5.7,2.9,0,0,0,8.6,0,0,0,5.7,14.3,14.3,14.3,11.4,0,14.3,8.6,"SDG 11"
"172187","%",3.8,7.7,0,0,0,11.5,0,0,3.8,7.7,26.9,0,23.1,0,3.8,0,11.5,"SDG 11"
"172256","%",0,5.9,5.9,0,0,0,5.9,0,0,0,11.8,17.6,5.9,0,11.8,17.6,17.6,"SDG 16"
"172592","%",0,40,0,0,5,0,0,0,0,5,0,5,15,0,10,10,10,"SDG 2"
"172707","%",3.2,3.2,29,3.2,6.5,0,0,0,3.2,3.2,16.1,0,3.2,0,0,12.9,16.1,"SDG 3"
"172806","%",0,0,2.1,0,2.1,14.6,0,0,0,4.2,29.2,0,8.3,10.4,20.8,2.1,6.2,"SDG 11"
"172926","%",0,2.4,0,0,0,0,0,4.9,0,7.3,4.9,4.9,9.8,22,2.4,4.9,36.6,"SDG 17"
"173151","%",3.3,0,6.7,20,3.3,0,0,0,3.3,0,3.3,3.3,3.3,0,0,16.7,36.7,"SDG 17"
"173487","%",0,16.1,0,0,0,0,3.2,0,12.9,0,16.1,3.2,6.5,0,3.2,6.5,32.3,"SDG 17"
"173589","%",0,0,33.3,0,33.3,0,0,0,0,0,0,33.3,0,0,0,0,0,"SDG 12"
"173782","%",0,6.2,12.5,0,0,0,0,0,12.5,0,0,0,43.8,0,0,0,25,"SDG 13"
"174067","%",4.8,0,0,4.8,0,0,0,0,14.3,0,0,0,19,0,9.5,28.6,19,"SDG 16"
"174191","%",4.3,8.7,0,0,0,0,0,0,0,0,26.1,8.7,39.1,0,0,0,13,"SDG 13"
"174246","%",11.5,11.5,3.8,0,0,3.8,0,0,3.8,0,3.8,3.8,7.7,0,0,15.4,34.6,"SDG 17"
"174251","%",3.7,0,7.4,3.7,0,0,0,0,11.1,11.1,7.4,0,29.6,0,3.7,7.4,14.8,"SDG 13"
"174259","%",8,4,44,0,0,0,0,4,4,0,8,8,8,0,0,0,12,"SDG 3"
"174367","%",0,4.3,0,0,0,0,4.3,4.3,0,4.3,8.7,4.3,17.4,0,4.3,17.4,30.4,"SDG 17"
"174564","%",23.5,0,0,0,23.5,5.9,0,5.9,0,0,11.8,0,5.9,0,0,11.8,11.8,"SDG 1"
"174732","%",5.4,0,2.7,0,2.7,21.6,0,5.4,2.7,13.5,21.6,2.7,5.4,0,0,10.8,5.4,"SDG 11"
"174798","%",0,0,0,0,7.7,0,0,0,0,7.7,15.4,7.7,15.4,15.4,0,23.1,7.7,"SDG 16"
"174806","%",0,4.8,16.7,4.8,7.1,0,0,0,4.8,0,2.4,7.1,14.3,0,2.4,2.4,33.3,"SDG 17"
"174812","%",0,4.3,4.3,4.3,0,0,0,0,8.7,17.4,13,0,4.3,8.7,0,8.7,26.1,"SDG 17"
"175011","%",2.4,14.6,0,2.4,0,0,0,0,2.4,4.9,4.9,9.8,22,7.3,14.6,7.3,7.3,"SDG 13"
"175221","%",8.6,5.7,0,0,5.7,5.7,2.9,0,0,2.9,17.1,0,5.7,5.7,0,22.9,17.1,"SDG 16"
"175317","%",11.1,0,16.7,0,0,0,0,0,5.6,5.6,11.1,0,0,0,0,11.1,38.9,"SDG 17"
"175455","%",4.8,0,9.5,0,0,2.4,2.4,2.4,4.8,7.1,2.4,2.4,2.4,0,0,26.2,33.3,"SDG 17"
"175493","%",3.1,40.6,6.2,3.1,6.2,0,0,0,0,0,6.2,12.5,9.4,0,3.1,6.2,3.1,"SDG 2"
"175543","%",2.6,0,2.6,0,0,0,0,0,0,2.6,5.1,5.1,15.4,2.6,5.1,10.3,48.7,"SDG 17"
"175592","%",3.4,0,0,6.9,0,0,0,3.4,6.9,3.4,6.9,0,13.8,3.4,10.3,10.3,31,"SDG 17"
"175640","%",10.5,0,0,0,0,0,10.5,0,0,10.5,10.5,21.1,10.5,0,0,15.8,10.5,"SDG 12"
