Project;Text;Target
P00001;estimated annual supervision cost;Deprecated
P00001;estimated approval supervision costs;Deprecated
P00001;evaluation implementation municipal reform programs million subcomponent support evaluation municipal reform status selected reserve cities start reform phase;Deprecated
P00001;expected effectiveness date july expected closing date november project depart cas content significant respects xino ref pad;Deprecated
P00001;fer chosen fer compliance;Deprecated
P00001;July;Deprecated
P00001;federation;Deprecated
P00001;pie chosen fer project;Deprecated
P00001;freinkman lev;Deprecated
P00001;funds distributed capita basis;Deprecated
P00001;fz december;Deprecated
P00001;rosstroi limited capacity implement bank financed ;Deprecated
P00001;projects russian decided outsource fiduciary functions disbursement ;Deprecated
P00001;procurement accounting reporting external agency piu;Deprecated
P00001;municipalities formalized procedures tariff regulation;Deprecated
P00001;investment funds rehabilitating modernizing existing infrastructure;Deprecated
P00001;investment funds rehabilitating modernizing existing infrastructure;Deprecated
P00001;municipal administrations apply participate project behalf local actors;Deprecated
P00001;municipal administrations adequate human resources regulate oversee providers partially local level sectoral knowledge traditionally concentrated cs providers;Deprecated
P00001;municipal administrations adequate human resources regulate oversee providers;Deprecated
P00001;municipal administrations apply participate project behalf local actors;Deprecated
P00001;municipal regional budgets sufficient funds fblly finance rehabilitation infrastructure;Deprecated
P00001;municipal regional budgets insufficient funds finance rehabilitation infrastructure;Deprecated
P00001;municipal authorities project proponentdeveloper responsible preparation specific investments approval relevant environmental authorities line existing regulations;Deprecated
P00001;municipal authorities project proponentdeveloper responsible preparation environmental management plan specific investments approval relevant environmental authorities line existing regulations;Deprecated
P00001;municipal investment plans include investment subproject primarily supports indicators project development objective outlined results fiamework annex;Deprecated
P00001;municipal investment plans include investment subproject primarily supports indicators project development objective outlined results framework;Deprecated
P00001;municipal steering committees established applicable coordinate provide guidance project implementation reporting;Deprecated
P00001;municipalities required submit report outlining reform status reform phase;Deprecated
P00001;municipalities spend percent annual budgets hcs sector;Deprecated
P00001;extreme poverty abolish eliminate eradicate;SDG 1.1
P00001;abolish extreme poverty;SDG 1.1
P00001;eradicate scarcity extreme;SDG 1.1
P00001;eliminate extreme poverty;SDG 1.1
P00001;erase extreme poverty;SDG 1.1
P00001;eliminate extreme poverty;SDG 1.1
P00001;extinguish extreme poverty;SDG 1.1
