Project,Text,Target
P00001,estimated annual supervision cost,Deprecated
P00001,estimated approval supervision costs,Deprecated
P00001,evaluation implementation municipal reform programs million subcomponent support evaluation municipal reform status selected reserve cities start reform phase,Deprecated
P00001,environmental social issues proposed actions,Deprecated
P00001,current tariff levels considered low affordability threshold issue raising tariff sensitive political topic,Deprecated
P00001,borrower mof moce nfoigw maintain implementation respective program functions staffing resources fulfill respective functions program including technical social environmental safeguards monitoring fiduciary functions provide inputs program reports referred section iii schedule days calendar semester,Deprecated
P00001,direct potential social impacts limited sitespecific reversible readily addressed mitigation measures,Deprecated
P00001,covid pandemic unleashed unprecedented threats social economic progress cabo verde significantly worsening economic outlook,Deprecated
P00001,covid shock estimated additional million people poverty,Deprecated
P00001,covid pandemic increased poverty unemployment rates costa rica intensifying preexisting social challenges,Deprecated
P00001,dsa debttogdp ratio declining historical primary balance assumption expand extreme scenario adjustment primary deficit respect peak figure,Deprecated
P00001,eligibility check confirm proposed project belongs investments financed project ii included planning documents defined law planning construction iii economically socially justifiable iv designs ready secured funds design completion,Deprecated
P00001,environmental social risks substantial,Deprecated
P00001,implementation zerorating essential everyday items act poverty mitigation policy items account considerable share consumption basket poor figure,Deprecated
P00001,financial impact key efficiency parameters demonstrated entity financial analysis section annex,Deprecated
P00001,gop holistic comprehensive approach reducing cd replaced load shedding priority challenge energy sector,Deprecated
P00001,borrower ensure environmental social instruments required contingent emergency response component prepared disclosed adopted accordance cerc manual escp form substance acceptable bank contingent emergency response component carried accordance environmental social instruments manner acceptable bank,Deprecated
P00001,borrower ensure project carried accordance page trkiye earthquake floods wildfires emergency reconstruction project environmental social standards environmental social commitment plan manner acceptable bank,Deprecated
P00001,appraisal stage esrs detailed description expected ehs social risks impacts,Deprecated
P00001,similarly day transit equivalent ad valorem tariff ranging percent percent trade components extremely timesensitive hummels schauer,Deprecated
P00001,mohe developed escp ensure project compliance environmental social standards world bank environmental health safety ehs guidelines environmental social instruments project,Deprecated
P00001,communication campaign dedicated communication plan includes radio television talk sensitization sessions religious community leaders local businessesuniversitiesunions daily reporting data vaccination covid social media immunization home disabled people workplaces information campaign supporting vaccination sites,Deprecated
P00001,essa discusses relevant environmental social national legislations health sector india,Deprecated
