"Project","SDG 1","SDG 2","SDG 3","SDG 4","SDG 5","SDG 6","SDG 7","SDG 8","SDG 9","SDG 10","SDG 11","SDG 12","SDG 13","SDG 14","SDG 15","SDG 16","SDG 17","Main_SDG"
"P079032",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P085375",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P086592",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P088799",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P088966",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P089985",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P090990",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P092218",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P092429",7,8,13,10,9,7,5,12,8,10,10,10,5,10,12,12,19,"SDG 17"
"P093765",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P093775",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P096124",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P096481",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P096532",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P099270",7,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
"P101103",6,8,13,10,9,8,5,12,8,10,10,11,5,10,12,12,19,"SDG 17"
