"Project","Text"
"P079032","project scenario considers proposed investment program targets"
"P079032","project scenario considers current situation continue deteriorate"
"P079032","obvious risks project identified strategy address transparency including transparencyrelated concerns"
"P079032","aspects identified cpar update pose risks procurement world bankfinanced projects russia attempts apply features line national procurement legislation fail procedures understood national controlling organs chamber accounts"
"P079032","costs paid consumers cs providers connection charges sanitation projects"
"P079032","broad agreement reforms introduce buildinglevel management structures"
"P079032","internal audit function piu acceptable size structure"
"P079032","government bank deemed investment lending operation policyorientation defined scope supports implementation governments agenda housing communal services reform effective achieving desired development objectives"
"P079032","planning implementation phases specific investments proper preparatory municipal authorities project developers environmental authorities identify subsequently avoid mitigate potentially negative impacts"
"P079032","economic benefit increased coverage computed reduction capita fixed costs hcs"
"P079032","anticipated majority investments individual environmental management plans"
"P079032","benefit derived improved service quality measured cost alternatives ensure indoor temperatures"
"P079032","arguments provision national legislation giving precedence procurement procedures set agreements international financial institutions"
"P079032","billing collection centers municipal departments offer municipal administrations possibilities intervene financial flows"
"P079032","costs considered economic costs"
"P079032","debt ceilings potentially excluded reformminded regions participating reform process"
"P079032","factors change time"
"P079032","goals isustaining rapid growth iistrengthening public sector management performance iii improving delivery social communal services"
"P079032","plans prepared municipality approved rosstroi world bank noobjection letters"
"P079032","reforms accompanied capacity building local level"
"P079032","responsible coordinating implementation reforms preparation implementation investment plans reporting entities involved hcs sector local level"
"P079032","formalized procedures submitting applications tariff adjustment review approval formalized justification tariff adjustment fixed duration tariff application tariffs set indefinite term consumer participation mechanisms reduce social tension public hearings"
"P079032","prepared cash basis"
"P079032","market competition housing management maintenance created improve services reduce prices"
"P079032","thirdly market competition housing management maintenance created improve services reduce prices"
"P079032","thirdly project implementation unit financing experience implementation bank technically economically financed projects ensure accounting financial suboptimal investments result management procurement procedures consistent banks requirements"
"P079032","thirdly procurement processes competitive transparent"
"P079032","thirty percent assets completely worn"
"P079032","annex describes mechanism conducting economic financial analyses screening activities undertaken project implementation ensure investments economically justified"
"P079032","annex describes project"
"P079032","assessment determine cities awarded grants investment phase project"
"P079032","component consists subcomponents specialist assistance cities utility reform social protection housing howtoguidance selected reform topics ii evaluation implementation municipal reform programs iii knowledge exchange municipalities iv public awareness campaign hcs reforms selected regions"
"P079032","component consists subcomponents specialist assistance howtoguidance cities utility reform social protection housing howto guidance selected reform topics million component finance teams consisting specialists utility financing utility reform social protection housing management maintenance provide intensive coaching selected reserve cities implement planned reforms reform phase"
"P079032","component consists subcomponents preparation municipal investment plans feasibility studies technical designs iiimplementation municipal investment plans iiisupervision implementation municipal investment plans"
